Nome: CURITIBANOS
Codigo Estacao: A860
Latitude: -27.288624
Longitude: -50.604283
Altitude: 978.1
Situacao: Operante
Data Inicial: 2008-02-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;136.8;
2008-04-30;201.8;
2008-05-31;43.2;
2008-06-30;186.2;
2008-07-31;40.2;
2008-08-31;88.6;
2008-09-30;191.8;
2008-10-31;358.8;
2008-11-30;135.6;
2008-12-31;113.4;
2009-01-31;183.6;
2009-02-28;140;
2009-03-31;56.6;
2009-04-30;16.6;
2009-05-31;106.8;
2009-06-30;75;
2009-07-31;229.6;
2009-08-31;160.2;
2009-09-30;341.8;
2009-10-31;117.8;
2009-11-30;165.2;
2009-12-31;96.6;
2010-01-31;166.6;
2010-02-28;145;
2010-03-31;136;
2010-04-30;157.4;
2010-05-31;148;
2010-06-30;69.4;
2010-07-31;73.6;
2010-08-31;34.4;
2010-09-30;52.6;
2010-10-31;136.2;
2010-11-30;108.6;
2010-12-31;178;
2011-01-31;199.4;
2011-02-28;200.4;
2011-03-31;111.8;
2011-04-30;null;
2011-05-31;null;
2011-06-30;101.6;
2011-07-31;241.6;
2011-08-31;309.4;
2011-09-30;211.6;
2011-10-31;162.8;
2011-11-30;71.8;
2011-12-31;112.8;
2012-01-31;null;
2012-02-29;138.4;
2012-03-31;35.4;
2012-04-30;122.2;
2012-05-31;39;
2012-06-30;117.2;
2012-07-31;162.4;
2012-08-31;12.4;
2012-09-30;29.4;
2012-10-31;37.6;
2012-11-30;16.2;
2012-12-31;199.6;
2013-01-31;157.2;
2013-02-28;163.2;
2013-03-31;170;
2013-04-30;66.2;
2013-05-31;82.6;
2013-06-30;200.8;
2013-07-31;79;
2013-08-31;254.8;
2013-09-30;242.6;
2013-10-31;116.2;
2013-11-30;101.8;
2013-12-31;85;
2014-01-31;203.4;
2014-02-28;159.2;
2014-03-31;144;
2014-04-30;80.8;
2014-05-31;191;
2014-06-30;384.8;
2014-07-31;51.6;
2014-08-31;87.8;
2014-09-30;225;
2014-10-31;116.8;
2014-11-30;231.8;
2014-12-31;208.4;
2015-01-31;177.6;
2015-02-28;224.2;
2015-03-31;136.6;
2015-04-30;73.2;
2015-05-31;80.8;
2015-06-30;141.8;
2015-07-31;285.6;
2015-08-31;68.8;
2015-09-30;279.4;
2015-10-31;339.2;
2015-11-30;224.2;
2015-12-31;206.8;
2016-01-31;108.4;
2016-02-29;214;
2016-03-31;282;
2016-04-30;148.4;
2016-05-31;191.4;
2016-06-30;41.6;
2016-07-31;76.8;
2016-08-31;161;
2016-09-30;89.8;
2016-10-31;228.4;
2016-11-30;179.8;
2016-12-31;151.8;
2017-01-31;139.8;
2017-02-28;113.8;
2017-03-31;83.4;
2017-04-30;85.2;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;106.6;
2017-09-30;40.2;
2017-10-31;201.2;
2017-11-30;121.4;
2017-12-31;122.4;
2018-01-31;245.8;
2018-02-28;75.6;
2018-03-31;70.6;
2018-04-30;15.2;
2018-05-31;56;
2018-06-30;110.4;
2018-07-31;18.4;
2018-08-31;108.6;
2018-09-30;196.6;
2018-10-31;178.4;
2018-11-30;112;
2018-12-31;92;
2019-01-31;253.4;
2019-02-28;172.8;
2019-03-31;177;
2019-04-30;152.8;
2019-05-31;238.4;
2019-06-30;22.4;
2019-07-31;49.6;
2019-08-31;37.8;
2019-09-30;58.6;
2019-10-31;172.8;
2019-11-30;194.6;
2019-12-31;74.2;
2020-01-31;105.2;
2020-02-29;127.2;
2020-03-31;49.8;
2020-04-30;76.8;
2020-05-31;70.2;
2020-06-30;180.6;
2020-07-31;138.2;
2020-08-31;134.2;
2020-09-30;81;
2020-10-31;58.6;
2020-11-30;165.4;
2020-12-31;155.4;
2021-01-31;268.2;
2021-02-28;41.4;
2021-03-31;121.8;
2021-04-30;9.4;
2021-05-31;119.6;
2021-06-30;133.6;
2021-07-31;41.8;
2021-08-31;17.4;
2021-09-30;229.8;
2021-10-31;147.6;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

