Nome: RIO NEGRINHO
Codigo Estacao: A862
Latitude: -26.2486111
Longitude: -49.57416666
Altitude: 800
Situacao: Operante
Data Inicial: 2008-03-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;197;
2008-05-31;56.2;
2008-06-30;117.2;
2008-07-31;33;
2008-08-31;104.6;
2008-09-30;69.8;
2008-10-31;349;
2008-11-30;128.2;
2008-12-31;43.2;
2009-01-31;213.4;
2009-02-28;136.6;
2009-03-31;39.4;
2009-04-30;35.4;
2009-05-31;55.2;
2009-06-30;68.6;
2009-07-31;209;
2009-08-31;153.4;
2009-09-30;328.6;
2009-10-31;null;
2009-11-30;147.8;
2009-12-31;199.4;
2010-01-31;334.6;
2010-02-28;167.8;
2010-03-31;316.4;
2010-04-30;319.6;
2010-05-31;109.4;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;219.6;
2010-11-30;147.6;
2010-12-31;222;
2011-01-31;135.4;
2011-02-28;208;
2011-03-31;85.8;
2011-04-30;80.6;
2011-05-31;35.2;
2011-06-30;111.2;
2011-07-31;227.6;
2011-08-31;278.2;
2011-09-30;151;
2011-10-31;213.2;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;132.6;
2012-03-31;39.6;
2012-04-30;215.4;
2012-05-31;92.8;
2012-06-30;236.8;
2012-07-31;195.8;
2012-08-31;7.2;
2012-09-30;58.8;
2012-10-31;133.8;
2012-11-30;82.4;
2012-12-31;246.6;
2013-01-31;57.2;
2013-02-28;227.2;
2013-03-31;88.6;
2013-04-30;65.4;
2013-05-31;99.2;
2013-06-30;337.2;
2013-07-31;109.4;
2013-08-31;125.2;
2013-09-30;248.2;
2013-10-31;131.8;
2013-11-30;85.6;
2013-12-31;87;
2014-01-31;207.6;
2014-02-28;140;
2014-03-31;271.6;
2014-04-30;63.8;
2014-05-31;19.6;
2014-06-30;43;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;71.4;
2014-11-30;296;
2014-12-31;275.4;
2015-01-31;115.4;
2015-02-28;110.4;
2015-03-31;70.4;
2015-04-30;5.6;
2015-05-31;66;
2015-06-30;null;
2015-07-31;null;
2015-08-31;30.4;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;167;
2016-01-31;135.6;
2016-02-29;133.4;
2016-03-31;94.6;
2016-04-30;80.4;
2016-05-31;null;
2016-06-30;null;
2016-07-31;82;
2016-08-31;235;
2016-09-30;56.8;
2016-10-31;163.2;
2016-11-30;81.2;
2016-12-31;121.8;
2017-01-31;129.2;
2017-02-28;157.6;
2017-03-31;52.2;
2017-04-30;null;
2017-05-31;null;
2017-06-30;126.8;
2017-07-31;13.2;
2017-08-31;107;
2017-09-30;31.2;
2017-10-31;128.6;
2017-11-30;160;
2017-12-31;150;
2018-01-31;186;
2018-02-28;95.4;
2018-03-31;164.2;
2018-04-30;20.8;
2018-05-31;36;
2018-06-30;104;
2018-07-31;15;
2018-08-31;68.8;
2018-09-30;160.2;
2018-10-31;305;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;91;
2019-04-30;151.4;
2019-05-31;289.4;
2019-06-30;86.6;
2019-07-31;31.2;
2019-08-31;30.4;
2019-09-30;167.6;
2019-10-31;103;
2019-11-30;101.4;
2019-12-31;95.8;
2020-01-31;106;
2020-02-29;157.8;
2020-03-31;20.2;
2020-04-30;43.4;
2020-05-31;39.6;
2020-06-30;100.6;
2020-07-31;97.6;
2020-08-31;126.4;
2020-09-30;37;
2020-10-31;94.2;
2020-11-30;50.4;
2020-12-31;169.6;
2021-01-31;252.2;
2021-02-28;106.2;
2021-03-31;131.2;
2021-04-30;17.2;
2021-05-31;110.2;
2021-06-30;126.6;
2021-07-31;37.4;
2021-08-31;56.6;
2021-09-30;117.2;
2021-10-31;168.4;
2021-11-30;100.2;
2021-12-31;140.8;
2022-01-31;null;

