Nome: MAJOR VIEIRA
Codigo Estacao: A864
Latitude: -26.3936111
Longitude: -50.36333333
Altitude: 799.58
Situacao: Operante
Data Inicial: 2009-02-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-02-28;null;
2009-03-31;65.4;
2009-04-30;28.2;
2009-05-31;88.6;
2009-06-30;77.4;
2009-07-31;174.6;
2009-08-31;112.4;
2009-09-30;330.6;
2009-10-31;104.4;
2009-11-30;108;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;248.6;
2010-05-31;176.4;
2010-06-30;99.2;
2010-07-31;113.4;
2010-08-31;51.2;
2010-09-30;34.4;
2010-10-31;201.8;
2010-11-30;107.2;
2010-12-31;223;
2011-01-31;262.8;
2011-02-28;163.6;
2011-03-31;134.2;
2011-04-30;87.2;
2011-05-31;36;
2011-06-30;125.8;
2011-07-31;256.8;
2011-08-31;366.4;
2011-09-30;211.4;
2011-10-31;226.2;
2011-11-30;114;
2011-12-31;56.8;
2012-01-31;176.2;
2012-02-29;151;
2012-03-31;33.2;
2012-04-30;146.4;
2012-05-31;56;
2012-06-30;186.8;
2012-07-31;45.2;
2012-08-31;5.2;
2012-09-30;47.4;
2012-10-31;105.6;
2012-11-30;27;
2012-12-31;14.2;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;65;
2013-06-30;253.6;
2013-07-31;161.6;
2013-08-31;128;
2013-09-30;245.6;
2013-10-31;141.2;
2013-11-30;113;
2013-12-31;86.8;
2014-01-31;131.4;
2014-02-28;null;
2014-03-31;175.4;
2014-04-30;23.8;
2014-05-31;null;
2014-06-30;67.6;
2014-07-31;71;
2014-08-31;134;
2014-09-30;191.8;
2014-10-31;56;
2014-11-30;61.6;
2014-12-31;223.4;
2015-01-31;111.4;
2015-02-28;41.6;
2015-03-31;78.6;
2015-04-30;7.4;
2015-05-31;127;
2015-06-30;109.6;
2015-07-31;264;
2015-08-31;18.6;
2015-09-30;89.6;
2015-10-31;222.8;
2015-11-30;244.6;
2015-12-31;96.4;
2016-01-31;null;
2016-02-29;null;
2016-03-31;228.6;
2016-04-30;null;
2016-05-31;null;
2016-06-30;0;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;109.8;
2016-11-30;113;
2016-12-31;171;
2017-01-31;216.8;
2017-02-28;139.6;
2017-03-31;117;
2017-04-30;62.6;
2017-05-31;210.6;
2017-06-30;102.4;
2017-07-31;10.6;
2017-08-31;130.2;
2017-09-30;41.4;
2017-10-31;248.2;
2017-11-30;131.2;
2017-12-31;123.6;
2018-01-31;190.6;
2018-02-28;31.8;
2018-03-31;180.4;
2018-04-30;6;
2018-05-31;52.2;
2018-06-30;146.8;
2018-07-31;8.6;
2018-08-31;81.4;
2018-09-30;175.8;
2018-10-31;249.4;
2018-11-30;65.2;
2018-12-31;67.8;
2019-01-31;102;
2019-02-28;110.6;
2019-03-31;114.2;
2019-04-30;118.6;
2019-05-31;196.8;
2019-06-30;31;
2019-07-31;35.8;
2019-08-31;23;
2019-09-30;100;
2019-10-31;171.2;
2019-11-30;140.8;
2019-12-31;null;
2020-01-31;76.8;
2020-02-29;20;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

