Nome: ARARANGUA
Codigo Estacao: A867
Latitude: -28.931353
Longitude: -49.49792
Altitude: 2
Situacao: Operante
Data Inicial: 2008-09-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;264.4;
2008-11-30;192.8;
2008-12-31;66.4;
2009-01-31;270.6;
2009-02-28;144.2;
2009-03-31;84.2;
2009-04-30;103.8;
2009-05-31;63.6;
2009-06-30;50.6;
2009-07-31;76.2;
2009-08-31;170.6;
2009-09-30;465.6;
2009-10-31;68.8;
2009-11-30;146.6;
2009-12-31;112.2;
2010-01-31;181.6;
2010-02-28;140.8;
2010-03-31;313;
2010-04-30;178.4;
2010-05-31;295.2;
2010-06-30;78;
2010-07-31;110;
2010-08-31;64;
2010-09-30;88.4;
2010-10-31;74;
2010-11-30;234.4;
2010-12-31;45.8;
2011-01-31;219.4;
2011-02-28;201.2;
2011-03-31;135.6;
2011-04-30;97;
2011-05-31;70;
2011-06-30;130.6;
2011-07-31;126.4;
2011-08-31;317.4;
2011-09-30;106.4;
2011-10-31;null;
2011-11-30;22.8;
2011-12-31;225;
2012-01-31;192.4;
2012-02-29;45.4;
2012-03-31;8.8;
2012-04-30;36.6;
2012-05-31;51.6;
2012-06-30;85;
2012-07-31;114.8;
2012-08-31;39.6;
2012-09-30;128.2;
2012-10-31;143.8;
2012-11-30;26.8;
2012-12-31;null;
2013-01-31;null;
2013-02-28;228.8;
2013-03-31;181.6;
2013-04-30;48.8;
2013-05-31;51;
2013-06-30;107.8;
2013-07-31;73.4;
2013-08-31;411.4;
2013-09-30;162;
2013-10-31;67.6;
2013-11-30;35.8;
2013-12-31;87;
2014-01-31;144.6;
2014-02-28;202.8;
2014-03-31;114.8;
2014-04-30;81.2;
2014-05-31;81.2;
2014-06-30;null;
2014-07-31;47;
2014-08-31;86.4;
2014-09-30;108.8;
2014-10-31;null;
2014-11-30;40.8;
2014-12-31;117.4;
2015-01-31;211;
2015-02-28;267.2;
2015-03-31;165.8;
2015-04-30;119.2;
2015-05-31;252.6;
2015-06-30;120.2;
2015-07-31;208;
2015-08-31;52.6;
2015-09-30;174;
2015-10-31;78.6;
2015-11-30;137.4;
2015-12-31;137.8;
2016-01-31;47.6;
2016-02-29;57;
2016-03-31;171.8;
2016-04-30;104.4;
2016-05-31;46;
2016-06-30;16.2;
2016-07-31;140.8;
2016-08-31;109.4;
2016-09-30;66.2;
2016-10-31;159.8;
2016-11-30;51.2;
2016-12-31;243.4;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;83.8;
2017-09-30;91.2;
2017-10-31;126.8;
2017-11-30;104.8;
2017-12-31;146.6;
2018-01-31;185.6;
2018-02-28;73;
2018-03-31;155.2;
2018-04-30;77;
2018-05-31;109;
2018-06-30;144.6;
2018-07-31;172.8;
2018-08-31;71.8;
2018-09-30;190.6;
2018-10-31;217.2;
2018-11-30;90.8;
2018-12-31;104.6;
2019-01-31;159.4;
2019-02-28;195;
2019-03-31;204;
2019-04-30;135.2;
2019-05-31;385.6;
2019-06-30;60.4;
2019-07-31;105.4;
2019-08-31;19.6;
2019-09-30;47.8;
2019-10-31;174.8;
2019-11-30;85.6;
2019-12-31;59.6;
2020-01-31;154;
2020-02-29;62.2;
2020-03-31;25.6;
2020-04-30;117.2;
2020-05-31;24.8;
2020-06-30;126.6;
2020-07-31;277.4;
2020-08-31;68.4;
2020-09-30;166.8;
2020-10-31;70.2;
2020-11-30;127.2;
2020-12-31;151;
2021-01-31;150.6;
2021-02-28;84.6;
2021-03-31;80;
2021-04-30;46.4;
2021-05-31;133.2;
2021-06-30;229.8;
2021-07-31;19.2;
2021-08-31;35.8;
2021-09-30;156;
2021-10-31;86.4;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

