Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Pane
Data Inicial: 2010-06-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-06-30;null;
2010-07-31;114.8;
2010-08-31;71.6;
2010-09-30;83;
2010-10-31;127.2;
2010-11-30;124.2;
2010-12-31;253.4;
2011-01-31;310.6;
2011-02-28;255.4;
2011-03-31;229.8;
2011-04-30;65.6;
2011-05-31;82.8;
2011-06-30;87.4;
2011-07-31;201.4;
2011-08-31;349.6;
2011-09-30;229.8;
2011-10-31;124.4;
2011-11-30;93.8;
2011-12-31;165.6;
2012-01-31;203.6;
2012-02-29;96;
2012-03-31;86.2;
2012-04-30;161.8;
2012-05-31;159.6;
2012-06-30;162;
2012-07-31;200.2;
2012-08-31;49.2;
2012-09-30;52.6;
2012-10-31;137.6;
2012-11-30;57.6;
2012-12-31;102.8;
2013-01-31;110.2;
2013-02-28;185.8;
2013-03-31;337.4;
2013-04-30;267.6;
2013-05-31;82.8;
2013-06-30;198.8;
2013-07-31;172;
2013-08-31;112.4;
2013-09-30;186.8;
2013-10-31;127.8;
2013-11-30;81.4;
2013-12-31;123.6;
2014-01-31;199.4;
2014-02-28;106;
2014-03-31;262.6;
2014-04-30;57;
2014-05-31;62.4;
2014-06-30;307.4;
2014-07-31;47;
2014-08-31;107.6;
2014-09-30;179.4;
2014-10-31;70.2;
2014-11-30;142.2;
2014-12-31;168.2;
2015-01-31;150.6;
2015-02-28;287;
2015-03-31;256.4;
2015-04-30;103;
2015-05-31;200.8;
2015-06-30;130.6;
2015-07-31;152.6;
2015-08-31;49.2;
2015-09-30;263.8;
2015-10-31;306.6;
2015-11-30;165.6;
2015-12-31;244.2;
2016-01-31;145.8;
2016-02-29;182.6;
2016-03-31;262.4;
2016-04-30;null;
2016-05-31;null;
2016-06-30;66.4;
2016-07-31;69.2;
2016-08-31;145.4;
2016-09-30;91.8;
2016-10-31;197.8;
2016-11-30;156.4;
2016-12-31;301;
2017-01-31;162;
2017-02-28;179.4;
2017-03-31;149.8;
2017-04-30;168.8;
2017-05-31;245.6;
2017-06-30;182;
2017-07-31;22.6;
2017-08-31;88.2;
2017-09-30;95.4;
2017-10-31;110.6;
2017-11-30;106.8;
2017-12-31;158.8;
2018-01-31;248.8;
2018-02-28;100.2;
2018-03-31;261.4;
2018-04-30;42.2;
2018-05-31;68.6;
2018-06-30;65.8;
2018-07-31;17.6;
2018-08-31;65.4;
2018-09-30;123;
2018-10-31;138.8;
2018-11-30;113;
2018-12-31;116.8;
2019-01-31;236.4;
2019-02-28;255.6;
2019-03-31;127.2;
2019-04-30;120.4;
2019-05-31;179;
2019-06-30;69;
2019-07-31;69.8;
2019-08-31;25.4;
2019-09-30;128.8;
2019-10-31;101.6;
2019-11-30;185;
2019-12-31;89.4;
2020-01-31;130.2;
2020-02-29;239.6;
2020-03-31;59;
2020-04-30;81.4;
2020-05-31;28;
2020-06-30;168;
2020-07-31;83.8;
2020-08-31;107.6;
2020-09-30;46.8;
2020-10-31;41.2;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

