Nome: RANCHO QUEIMADO
Codigo Estacao: A870
Latitude: -27.6786111
Longitude: -49.04194444
Altitude: 881
Situacao: Operante
Data Inicial: 2016-05-30
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-05-31;null;
2016-06-30;32.2;
2016-07-31;105.8;
2016-08-31;121.8;
2016-09-30;90.2;
2016-10-31;231.8;
2016-11-30;85.6;
2016-12-31;401.2;
2017-01-31;244.4;
2017-02-28;206.4;
2017-03-31;158;
2017-04-30;138.8;
2017-05-31;326.4;
2017-06-30;220.8;
2017-07-31;28.6;
2017-08-31;154;
2017-09-30;81;
2017-10-31;104;
2017-11-30;129.4;
2017-12-31;252.4;
2018-01-31;296.8;
2018-02-28;108.4;
2018-03-31;201.8;
2018-04-30;59.4;
2018-05-31;83.6;
2018-06-30;122.4;
2018-07-31;67.8;
2018-08-31;98;
2018-09-30;198.4;
2018-10-31;145.2;
2018-11-30;138.6;
2018-12-31;259.2;
2019-01-31;218.4;
2019-02-28;null;
2019-03-31;null;
2019-04-30;130.8;
2019-05-31;236.6;
2019-06-30;25.8;
2019-07-31;85.8;
2019-08-31;51.2;
2019-09-30;83.6;
2019-10-31;126.6;
2019-11-30;147;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;131.8;
2020-10-31;112.6;
2020-11-30;174;
2020-12-31;354.2;
2021-01-31;464;
2021-02-28;131;
2021-03-31;219.2;
2021-04-30;68.2;
2021-05-31;136.8;
2021-06-30;276.4;
2021-07-31;33.4;
2021-08-31;68.8;
2021-09-30;163;
2021-10-31;237.6;
2021-11-30;159.2;
2021-12-31;73;
2022-01-31;null;

