Nome: JAPIRA
Codigo Estacao: A871
Latitude: -23.77333332
Longitude: -50.18055554
Altitude: 692.88
Situacao: Pane
Data Inicial: 2008-02-28
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;null;
2008-04-30;209.8;
2008-05-31;73.6;
2008-06-30;65;
2008-07-31;20.2;
2008-08-31;174.2;
2008-09-30;106.4;
2008-10-31;139.6;
2008-11-30;96.8;
2008-12-31;81.8;
2009-01-31;240.2;
2009-02-28;248.8;
2009-03-31;89.4;
2009-04-30;.6;
2009-05-31;0;
2009-06-30;0;
2009-07-31;0;
2009-08-31;0;
2009-09-30;0;
2009-10-31;0;
2009-11-30;0;
2009-12-31;0;
2010-01-31;0;
2010-02-28;0;
2010-03-31;0;
2010-04-30;0;
2010-05-31;0;
2010-06-30;0;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;141.8;
2010-11-30;70.6;
2010-12-31;226.6;
2011-01-31;182;
2011-02-28;85.6;
2011-03-31;132.8;
2011-04-30;125.4;
2011-05-31;5.6;
2011-06-30;100.2;
2011-07-31;84;
2011-08-31;73.2;
2011-09-30;6.8;
2011-10-31;280.8;
2011-11-30;144.6;
2011-12-31;64.8;
2012-01-31;230.2;
2012-02-29;102.8;
2012-03-31;73.6;
2012-04-30;105.4;
2012-05-31;44.6;
2012-06-30;null;
2012-07-31;47.4;
2012-08-31;6.8;
2012-09-30;80.8;
2012-10-31;67;
2012-11-30;51.6;
2012-12-31;272.8;
2013-01-31;110.8;
2013-02-28;258.8;
2013-03-31;143.4;
2013-04-30;173;
2013-05-31;109;
2013-06-30;263.8;
2013-07-31;96.2;
2013-08-31;4.4;
2013-09-30;118.8;
2013-10-31;187.8;
2013-11-30;116.8;
2013-12-31;75.8;
2014-01-31;196.2;
2014-02-28;142.2;
2014-03-31;171.2;
2014-04-30;105.8;
2014-05-31;110.2;
2014-06-30;null;
2014-07-31;null;
2014-08-31;33.4;
2014-09-30;230;
2014-10-31;40.2;
2014-11-30;139.4;
2014-12-31;192.4;
2015-01-31;147.6;
2015-02-28;225.4;
2015-03-31;73;
2015-04-30;65.4;
2015-05-31;119.6;
2015-06-30;12;
2015-07-31;247.4;
2015-08-31;39.4;
2015-09-30;187.2;
2015-10-31;272.4;
2015-11-30;427.2;
2015-12-31;278.2;
2016-01-31;263.2;
2016-02-29;207.4;
2016-03-31;93.4;
2016-04-30;47.8;
2016-05-31;245.2;
2016-06-30;80.4;
2016-07-31;39.8;
2016-08-31;144.6;
2016-09-30;63.8;
2016-10-31;152.4;
2016-11-30;96.4;
2016-12-31;154.2;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;221.4;
2017-06-30;126.6;
2017-07-31;0;
2017-08-31;101.4;
2017-09-30;20.4;
2017-10-31;191.2;
2017-11-30;211.8;
2017-12-31;232.2;
2018-01-31;174.4;
2018-02-28;107.2;
2018-03-31;148.6;
2018-04-30;10.4;
2018-05-31;28.6;
2018-06-30;38.8;
2018-07-31;5;
2018-08-31;119.6;
2018-09-30;120.2;
2018-10-31;153.2;
2018-11-30;109;
2018-12-31;78.6;
2019-01-31;209.2;
2019-02-28;152.8;
2019-03-31;79.4;
2019-04-30;46.4;
2019-05-31;65;
2019-06-30;84;
2019-07-31;42.2;
2019-08-31;4.2;
2019-09-30;80.8;
2019-10-31;25.8;
2019-11-30;250.4;
2019-12-31;189.4;
2020-01-31;174.2;
2020-02-29;134.8;
2020-03-31;26.6;
2020-04-30;33.6;
2020-05-31;80.4;
2020-06-30;153;
2020-07-31;38.6;
2020-08-31;147.2;
2020-09-30;11.6;
2020-10-31;80.4;
2020-11-30;11;
2020-12-31;137.2;
2021-01-31;311.2;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

