Nome: MORRETES
Codigo Estacao: A873
Latitude: -25.508935
Longitude: -48.808681
Altitude: 50.31
Situacao: Operante
Data Inicial: 2008-03-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;150;
2008-05-31;84.6;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;120.2;
2009-01-31;359.4;
2009-02-28;217.2;
2009-03-31;56;
2009-04-30;70;
2009-05-31;42.8;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;229.8;
2009-12-31;278.8;
2010-01-31;361.2;
2010-02-28;119.2;
2010-03-31;343.8;
2010-04-30;286.8;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;93.6;
2010-10-31;174.8;
2010-11-30;180.6;
2010-12-31;340.2;
2011-01-31;367.8;
2011-02-28;345.6;
2011-03-31;540.6;
2011-04-30;45.4;
2011-05-31;.4;
2011-06-30;97;
2011-07-31;144.8;
2011-08-31;244.8;
2011-09-30;59.8;
2011-10-31;185.6;
2011-11-30;89.6;
2011-12-31;96.8;
2012-01-31;355.8;
2012-02-29;276.8;
2012-03-31;41;
2012-04-30;272.2;
2012-05-31;135.2;
2012-06-30;258.4;
2012-07-31;144;
2012-08-31;18.4;
2012-09-30;90.4;
2012-10-31;118.6;
2012-11-30;114;
2012-12-31;400.8;
2013-01-31;181.2;
2013-02-28;281.8;
2013-03-31;258.2;
2013-04-30;61.2;
2013-05-31;73.6;
2013-06-30;305;
2013-07-31;174.8;
2013-08-31;64.6;
2013-09-30;164.4;
2013-10-31;86.6;
2013-11-30;130.2;
2013-12-31;126;
2014-01-31;246.2;
2014-02-28;108.8;
2014-03-31;221.6;
2014-04-30;170.8;
2014-05-31;68.2;
2014-06-30;157.4;
2014-07-31;null;
2014-08-31;null;
2014-09-30;153.4;
2014-10-31;76.2;
2014-11-30;119.6;
2014-12-31;232.4;
2015-01-31;216.8;
2015-02-28;409;
2015-03-31;233.4;
2015-04-30;133.4;
2015-05-31;115.4;
2015-06-30;85.6;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;47.8;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;51.4;
2016-04-30;52.8;
2016-05-31;166.4;
2016-06-30;173;
2016-07-31;91.4;
2016-08-31;162.2;
2016-09-30;101.4;
2016-10-31;189.8;
2016-11-30;142.6;
2016-12-31;178.4;
2017-01-31;469.8;
2017-02-28;187.2;
2017-03-31;277;
2017-04-30;141.6;
2017-05-31;171.6;
2017-06-30;128.6;
2017-07-31;30.6;
2017-08-31;80;
2017-09-30;78.8;
2017-10-31;213;
2017-11-30;105.6;
2017-12-31;302.6;
2018-01-31;329.2;
2018-02-28;140.4;
2018-03-31;382.6;
2018-04-30;93;
2018-05-31;47.2;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;150.8;
2019-01-31;280.4;
2019-02-28;273;
2019-03-31;125.8;
2019-04-30;105.6;
2019-05-31;202.6;
2019-06-30;146.8;
2019-07-31;30.4;
2019-08-31;74;
2019-09-30;162;
2019-10-31;122.6;
2019-11-30;175;
2019-12-31;43.4;
2020-01-31;156.4;
2020-02-29;353.4;
2020-03-31;83;
2020-04-30;27.2;
2020-05-31;13.4;
2020-06-30;121.2;
2020-07-31;73.4;
2020-08-31;110.6;
2020-09-30;51.4;
2020-10-31;105.6;
2020-11-30;100.4;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;210.8;
2021-04-30;126.6;
2021-05-31;91.4;
2021-06-30;120.2;
2021-07-31;30.4;
2021-08-31;136;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

