Nome: SAO MATEUS DO SUL
Codigo Estacao: A874
Latitude: -25.83555555
Longitude: -50.36888888
Altitude: 780.21
Situacao: Pane
Data Inicial: 2011-04-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2011-04-30;null;
2011-05-31;34.8;
2011-06-30;124.4;
2011-07-31;179.2;
2011-08-31;341.8;
2011-09-30;164.6;
2011-10-31;203;
2011-11-30;71;
2011-12-31;154.8;
2012-01-31;202.2;
2012-02-29;185;
2012-03-31;61;
2012-04-30;224.4;
2012-05-31;112.4;
2012-06-30;null;
2012-07-31;146.2;
2012-08-31;10.6;
2012-09-30;46.8;
2012-10-31;169.4;
2012-11-30;114.2;
2012-12-31;132.2;
2013-01-31;134;
2013-02-28;253.2;
2013-03-31;152.2;
2013-04-30;91.2;
2013-05-31;134;
2013-06-30;null;
2013-07-31;106.4;
2013-08-31;61;
2013-09-30;214.6;
2013-10-31;149.6;
2013-11-30;102.8;
2013-12-31;64;
2014-01-31;334.4;
2014-02-28;131.4;
2014-03-31;233.2;
2014-04-30;43.6;
2014-05-31;72;
2014-06-30;null;
2014-07-31;null;
2014-08-31;48.8;
2014-09-30;271.2;
2014-10-31;118.8;
2014-11-30;125.4;
2014-12-31;207.2;
2015-01-31;145.6;
2015-02-28;147.6;
2015-03-31;151.8;
2015-04-30;53.4;
2015-05-31;157.6;
2015-06-30;114.2;
2015-07-31;227.2;
2015-08-31;52.6;
2015-09-30;167.6;
2015-10-31;189;
2015-11-30;254.2;
2015-12-31;224.8;
2016-01-31;160.2;
2016-02-29;238.4;
2016-03-31;113.8;
2016-04-30;77;
2016-05-31;null;
2016-06-30;null;
2016-07-31;83;
2016-08-31;133.2;
2016-09-30;44;
2016-10-31;137;
2016-11-30;204.8;
2016-12-31;117.8;
2017-01-31;301.8;
2017-02-28;120.8;
2017-03-31;65.6;
2017-04-30;78.4;
2017-05-31;157.2;
2017-06-30;84.2;
2017-07-31;6.4;
2017-08-31;123.4;
2017-09-30;45.6;
2017-10-31;193;
2017-11-30;159.8;
2017-12-31;101.8;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;26;
2018-06-30;147.6;
2018-07-31;11.6;
2018-08-31;61.2;
2018-09-30;133.4;
2018-10-31;311.2;
2018-11-30;74.8;
2018-12-31;40;
2019-01-31;149.6;
2019-02-28;205;
2019-03-31;160;
2019-04-30;177.2;
2019-05-31;181.6;
2019-06-30;22.8;
2019-07-31;62;
2019-08-31;22.8;
2019-09-30;112;
2019-10-31;91.2;
2019-11-30;79;
2019-12-31;67.6;
2020-01-31;62.2;
2020-02-29;54;
2020-03-31;21.2;
2020-04-30;18.6;
2020-05-31;30.4;
2020-06-30;62;
2020-07-31;35.2;
2020-08-31;51.8;
2020-09-30;17.2;
2020-10-31;32.8;
2020-11-30;59.8;
2020-12-31;69.2;
2021-01-31;110.2;
2021-02-28;32;
2021-03-31;62.4;
2021-04-30;3.8;
2021-05-31;39.6;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

