Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2008-04-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;48.2;
2008-08-31;131.4;
2008-09-30;164.8;
2008-10-31;325.6;
2008-11-30;144;
2008-12-31;77.2;
2009-01-31;145;
2009-02-28;157.4;
2009-03-31;50.6;
2009-04-30;75.2;
2009-05-31;103;
2009-06-30;.2;
2009-07-31;0;
2009-08-31;0;
2009-09-30;127.2;
2009-10-31;167;
2009-11-30;199;
2009-12-31;214.2;
2010-01-31;178.8;
2010-02-28;134;
2010-03-31;220;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;133.8;
2010-12-31;null;
2011-01-31;342.2;
2011-02-28;null;
2011-03-31;null;
2011-04-30;30.2;
2011-05-31;70.8;
2011-06-30;102.8;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;80.6;
2012-01-31;200.8;
2012-02-29;132.2;
2012-03-31;51.2;
2012-04-30;253;
2012-05-31;66.2;
2012-06-30;170;
2012-07-31;50.8;
2012-08-31;21;
2012-09-30;146;
2012-10-31;179.2;
2012-11-30;5.4;
2012-12-31;71.8;
2013-01-31;143.4;
2013-02-28;44.2;
2013-03-31;330.6;
2013-04-30;41;
2013-05-31;170;
2013-06-30;407.8;
2013-07-31;91.2;
2013-08-31;144.2;
2013-09-30;263.8;
2013-10-31;113.6;
2013-11-30;107;
2013-12-31;203.8;
2014-01-31;197;
2014-02-28;164;
2014-03-31;201.8;
2014-04-30;100.4;
2014-05-31;155.4;
2014-06-30;384.8;
2014-07-31;86.8;
2014-08-31;75.6;
2014-09-30;301;
2014-10-31;45.4;
2014-11-30;192.2;
2014-12-31;174.6;
2015-01-31;93.8;
2015-02-28;57;
2015-03-31;34.6;
2015-04-30;22.4;
2015-05-31;29.2;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;364.4;
2015-11-30;277.2;
2015-12-31;256;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;152.4;
2016-05-31;197;
2016-06-30;104.8;
2016-07-31;85.6;
2016-08-31;241.6;
2016-09-30;101.8;
2016-10-31;262.8;
2016-11-30;133.6;
2016-12-31;221.4;
2017-01-31;252.2;
2017-02-28;128.6;
2017-03-31;113.2;
2017-04-30;84.6;
2017-05-31;266.4;
2017-06-30;null;
2017-07-31;null;
2017-08-31;136.8;
2017-09-30;50.8;
2017-10-31;372;
2017-11-30;157.2;
2017-12-31;224;
2018-01-31;204.2;
2018-02-28;113;
2018-03-31;221.6;
2018-04-30;31;
2018-05-31;61.2;
2018-06-30;147;
2018-07-31;12.2;
2018-08-31;111.6;
2018-09-30;165.2;
2018-10-31;322.6;
2018-11-30;82.2;
2018-12-31;129;
2019-01-31;260;
2019-02-28;199.6;
2019-03-31;132.6;
2019-04-30;180.2;
2019-05-31;199.2;
2019-06-30;37.6;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;100.4;
2020-01-31;83.8;
2020-02-29;87.4;
2020-03-31;84.4;
2020-04-30;55.6;
2020-05-31;121.4;
2020-06-30;150.4;
2020-07-31;98.6;
2020-08-31;109.6;
2020-09-30;46.4;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;125.8;
2021-02-28;35.8;
2021-03-31;null;
2021-04-30;null;
2021-05-31;56.6;
2021-06-30;22.8;
2021-07-31;64.4;
2021-08-31;36.2;
2021-09-30;140;
2021-10-31;286.8;
2021-11-30;94.2;
2021-12-31;33.8;
2022-01-31;null;

