Nome: MOSTARDAS
Codigo Estacao: A878
Latitude: -31.24833333
Longitude: -50.90638888
Altitude: 3.82
Situacao: Pane
Data Inicial: 2008-03-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;140;
2008-09-30;129.4;
2008-10-31;111.6;
2008-11-30;16;
2008-12-31;61;
2009-01-31;119.6;
2009-02-28;145.2;
2009-03-31;56.4;
2009-04-30;8.6;
2009-05-31;99.8;
2009-06-30;62.4;
2009-07-31;66.2;
2009-08-31;198;
2009-09-30;233;
2009-10-31;91.6;
2009-11-30;226.8;
2009-12-31;108;
2010-01-31;58.8;
2010-02-28;121;
2010-03-31;34.4;
2010-04-30;83.2;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;51.2;
2010-12-31;25;
2011-01-31;null;
2011-02-28;null;
2011-03-31;33.4;
2011-04-30;null;
2011-05-31;68.2;
2011-06-30;145.8;
2011-07-31;111.2;
2011-08-31;null;
2011-09-30;88;
2011-10-31;153.6;
2011-11-30;22.8;
2011-12-31;107.4;
2012-01-31;66.8;
2012-02-29;85;
2012-03-31;107.8;
2012-04-30;65.2;
2012-05-31;29.6;
2012-06-30;91.2;
2012-07-31;153;
2012-08-31;null;
2012-09-30;190.4;
2012-10-31;65.8;
2012-11-30;38.4;
2012-12-31;151;
2013-01-31;96.2;
2013-02-28;95.6;
2013-03-31;69.4;
2013-04-30;90.4;
2013-05-31;83.4;
2013-06-30;53.6;
2013-07-31;35.8;
2013-08-31;149.6;
2013-09-30;167.4;
2013-10-31;252.6;
2013-11-30;72.4;
2013-12-31;63.8;
2014-01-31;140.8;
2014-02-28;178.2;
2014-03-31;124.8;
2014-04-30;68.4;
2014-05-31;40.2;
2014-06-30;null;
2014-07-31;null;
2014-08-31;99.2;
2014-09-30;102.4;
2014-10-31;147.8;
2014-11-30;54.6;
2014-12-31;112.4;
2015-01-31;161;
2015-02-28;51.2;
2015-03-31;44;
2015-04-30;30.8;
2015-05-31;230.6;
2015-06-30;142.4;
2015-07-31;313.8;
2015-08-31;72.2;
2015-09-30;194.2;
2015-10-31;292.6;
2015-11-30;92.2;
2015-12-31;128.4;
2016-01-31;40.4;
2016-02-29;null;
2016-03-31;249.8;
2016-04-30;164.2;
2016-05-31;64;
2016-06-30;7.6;
2016-07-31;77;
2016-08-31;87.6;
2016-09-30;83;
2016-10-31;106.4;
2016-11-30;98.4;
2016-12-31;156;
2017-01-31;38.2;
2017-02-28;70;
2017-03-31;165.2;
2017-04-30;64.2;
2017-05-31;236.4;
2017-06-30;64.8;
2017-07-31;12.4;
2017-08-31;89.8;
2017-09-30;127;
2017-10-31;285.4;
2017-11-30;101.6;
2017-12-31;34;
2018-01-31;56.8;
2018-02-28;55.2;
2018-03-31;152.4;
2018-04-30;152.8;
2018-05-31;91.8;
2018-06-30;109.4;
2018-07-31;200;
2018-08-31;96.8;
2018-09-30;132;
2018-10-31;87.6;
2018-11-30;118.2;
2018-12-31;34.6;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;145.6;
2019-08-31;null;
2019-09-30;103.8;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;46.4;
2020-03-31;27.2;
2020-04-30;28.8;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

