Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2008-08-22
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-08-31;null;
2008-09-30;null;
2008-10-31;279.2;
2008-11-30;102.4;
2008-12-31;173.2;
2009-01-31;348.8;
2009-02-28;207.6;
2009-03-31;102.8;
2009-04-30;80.2;
2009-05-31;126;
2009-06-30;91.6;
2009-07-31;null;
2009-08-31;258.4;
2009-09-30;555.2;
2009-10-31;145.6;
2009-11-30;297;
2009-12-31;227.6;
2010-01-31;316.2;
2010-02-28;216.4;
2010-03-31;278.2;
2010-04-30;219.6;
2010-05-31;263.4;
2010-06-30;134;
2010-07-31;203.8;
2010-08-31;88;
2010-09-30;227.8;
2010-10-31;46.2;
2010-11-30;202.4;
2010-12-31;102.4;
2011-01-31;75.6;
2011-02-28;262.4;
2011-03-31;219.6;
2011-04-30;168.8;
2011-05-31;61.2;
2011-06-30;173.8;
2011-07-31;null;
2011-08-31;186.8;
2011-09-30;95.4;
2011-10-31;163.4;
2011-11-30;25.4;
2011-12-31;89.8;
2012-01-31;304.8;
2012-02-29;211.4;
2012-03-31;103.2;
2012-04-30;107.8;
2012-05-31;47.8;
2012-06-30;null;
2012-07-31;211.2;
2012-08-31;96.4;
2012-09-30;250.8;
2012-10-31;201.4;
2012-11-30;93.8;
2012-12-31;200.4;
2013-01-31;170;
2013-02-28;220.2;
2013-03-31;124.4;
2013-04-30;51.8;
2013-05-31;119.4;
2013-06-30;174.6;
2013-07-31;89.4;
2013-08-31;468;
2013-09-30;195;
2013-10-31;172.8;
2013-11-30;275;
2013-12-31;188.8;
2014-01-31;233;
2014-02-28;214.4;
2014-03-31;138.4;
2014-04-30;126;
2014-05-31;128.4;
2014-06-30;332.8;
2014-07-31;151.8;
2014-08-31;113.6;
2014-09-30;219.6;
2014-10-31;186;
2014-11-30;147.6;
2014-12-31;248.2;
2015-01-31;190.4;
2015-02-28;139.2;
2015-03-31;195.2;
2015-04-30;174.2;
2015-05-31;205;
2015-06-30;207.2;
2015-07-31;343.4;
2015-08-31;133;
2015-09-30;89;
2015-10-31;261.4;
2015-11-30;193.6;
2015-12-31;258.8;
2016-01-31;169.4;
2016-02-29;104.2;
2016-03-31;294.8;
2016-04-30;289.2;
2016-05-31;148.6;
2016-06-30;12;
2016-07-31;165.8;
2016-08-31;159;
2016-09-30;101;
2016-10-31;359.4;
2016-11-30;139.6;
2016-12-31;172.8;
2017-01-31;205;
2017-02-28;111.6;
2017-03-31;231;
2017-04-30;146.4;
2017-05-31;286.6;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;191.4;
2017-10-31;251.4;
2017-11-30;258;
2017-12-31;223;
2018-01-31;208.2;
2018-02-28;148;
2018-03-31;184.4;
2018-04-30;111.8;
2018-05-31;121.4;
2018-06-30;167.8;
2018-07-31;251.8;
2018-08-31;177;
2018-09-30;284.2;
2018-10-31;245.8;
2018-11-30;175;
2018-12-31;130.8;
2019-01-31;160.8;
2019-02-28;136;
2019-03-31;160.6;
2019-04-30;198;
2019-05-31;260.8;
2019-06-30;51.4;
2019-07-31;84.2;
2019-08-31;99.4;
2019-09-30;97.4;
2019-10-31;389;
2019-11-30;216;
2019-12-31;49.8;
2020-01-31;233;
2020-02-29;153.8;
2020-03-31;35.4;
2020-04-30;42.6;
2020-05-31;171.6;
2020-06-30;245.2;
2020-07-31;412.4;
2020-08-31;136.4;
2020-09-30;181;
2020-10-31;135.6;
2020-11-30;121.2;
2020-12-31;57;
2021-01-31;null;
2021-02-28;170.2;
2021-03-31;163.2;
2021-04-30;25.6;
2021-05-31;241;
2021-06-30;188;
2021-07-31;35.8;
2021-08-31;159.8;
2021-09-30;197.6;
2021-10-31;null;
2021-11-30;120;
2021-12-31;null;
2022-01-31;null;

