Nome: VACARIA
Codigo Estacao: A880
Latitude: -28.513602
Longitude: -50.882738
Altitude: 969.89
Situacao: Operante
Data Inicial: 2008-04-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;64.2;
2008-06-30;145.4;
2008-07-31;68.2;
2008-08-31;100.4;
2008-09-30;125.2;
2008-10-31;365.4;
2008-11-30;150.8;
2008-12-31;60.2;
2009-01-31;130.4;
2009-02-28;139;
2009-03-31;79;
2009-04-30;10.6;
2009-05-31;115.8;
2009-06-30;104;
2009-07-31;153.4;
2009-08-31;213.8;
2009-09-30;488.8;
2009-10-31;128.8;
2009-11-30;208.4;
2009-12-31;144.6;
2010-01-31;174.6;
2010-02-28;317.2;
2010-03-31;170.2;
2010-04-30;187;
2010-05-31;163.4;
2010-06-30;113.4;
2010-07-31;148.8;
2010-08-31;73.2;
2010-09-30;186.4;
2010-10-31;136.6;
2010-11-30;217.2;
2010-12-31;167.8;
2011-01-31;245.2;
2011-02-28;196.8;
2011-03-31;169.6;
2011-04-30;137.2;
2011-05-31;105;
2011-06-30;197.6;
2011-07-31;292.4;
2011-08-31;305.6;
2011-09-30;88.6;
2011-10-31;140.8;
2011-11-30;40.8;
2011-12-31;78.8;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;54.6;
2012-05-31;23.8;
2012-06-30;148;
2012-07-31;224.8;
2012-08-31;40.8;
2012-09-30;154.6;
2012-10-31;142.8;
2012-11-30;70;
2012-12-31;180.8;
2013-01-31;108;
2013-02-28;147.4;
2013-03-31;150.4;
2013-04-30;65.6;
2013-05-31;91.6;
2013-06-30;165.8;
2013-07-31;50.8;
2013-08-31;289.2;
2013-09-30;204.8;
2013-10-31;159.6;
2013-11-30;102.6;
2013-12-31;70.2;
2014-01-31;199.8;
2014-02-28;97.6;
2014-03-31;192.4;
2014-04-30;146.8;
2014-05-31;206.8;
2014-06-30;360;
2014-07-31;89.4;
2014-08-31;104.8;
2014-09-30;242.2;
2014-10-31;195.8;
2014-11-30;147.2;
2014-12-31;302.2;
2015-01-31;136.8;
2015-02-28;176.2;
2015-03-31;175.4;
2015-04-30;123.2;
2015-05-31;137;
2015-06-30;168.8;
2015-07-31;360;
2015-08-31;50.8;
2015-09-30;248.4;
2015-10-31;338.6;
2015-11-30;149.8;
2015-12-31;275.4;
2016-01-31;175.4;
2016-02-29;159;
2016-03-31;null;
2016-04-30;null;
2016-05-31;72.6;
2016-06-30;11.4;
2016-07-31;202.6;
2016-08-31;127.8;
2016-09-30;71;
2016-10-31;310.8;
2016-11-30;62.6;
2016-12-31;179.8;
2017-01-31;205.6;
2017-02-28;102.2;
2017-03-31;71.2;
2017-04-30;160.6;
2017-05-31;247.4;
2017-06-30;156;
2017-07-31;28;
2017-08-31;100.4;
2017-09-30;120.2;
2017-10-31;208.6;
2017-11-30;156.6;
2017-12-31;161.2;
2018-01-31;178.6;
2018-02-28;97;
2018-03-31;172.2;
2018-04-30;49.6;
2018-05-31;153.4;
2018-06-30;206;
2018-07-31;184.6;
2018-08-31;139;
2018-09-30;235;
2018-10-31;256.4;
2018-11-30;201.6;
2018-12-31;141.8;
2019-01-31;179.8;
2019-02-28;132.8;
2019-03-31;133.6;
2019-04-30;122;
2019-05-31;289;
2019-06-30;26.8;
2019-07-31;130.8;
2019-08-31;53.8;
2019-09-30;79;
2019-10-31;277.4;
2019-11-30;188.6;
2019-12-31;80.6;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;184.8;
2020-07-31;422;
2020-08-31;74;
2020-09-30;123;
2020-10-31;39.4;
2020-11-30;94.4;
2020-12-31;175.2;
2021-01-31;325.2;
2021-02-28;101;
2021-03-31;101.8;
2021-04-30;null;
2021-05-31;null;
2021-06-30;162;
2021-07-31;55.6;
2021-08-31;63.4;
2021-09-30;198.6;
2021-10-31;153.8;
2021-11-30;105.6;
2021-12-31;72.8;
2022-01-31;null;

