Nome: DOM PEDRITO
Codigo Estacao: A881
Latitude: -31.0025
Longitude: -54.61805554
Altitude: 150
Situacao: Operante
Data Inicial: 2010-04-22
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-04-30;null;
2010-05-31;86.8;
2010-06-30;46;
2010-07-31;229.2;
2010-08-31;17.6;
2010-09-30;119.4;
2010-10-31;17.8;
2010-11-30;24.8;
2010-12-31;54;
2011-01-31;91.4;
2011-02-28;93.8;
2011-03-31;41.2;
2011-04-30;108.6;
2011-05-31;64.4;
2011-06-30;133.2;
2011-07-31;98.6;
2011-08-31;60.8;
2011-09-30;71.4;
2011-10-31;144.6;
2011-11-30;27.2;
2011-12-31;39.4;
2012-01-31;25.6;
2012-02-29;197;
2012-03-31;92.8;
2012-04-30;122.8;
2012-05-31;5;
2012-06-30;42.4;
2012-07-31;71.8;
2012-08-31;95.2;
2012-09-30;null;
2012-10-31;null;
2012-11-30;53.4;
2012-12-31;152.4;
2013-01-31;96.8;
2013-02-28;168.8;
2013-03-31;97.4;
2013-04-30;84.6;
2013-05-31;164.6;
2013-06-30;77.4;
2013-07-31;null;
2013-08-31;null;
2013-09-30;118;
2013-10-31;142;
2013-11-30;115.4;
2013-12-31;29.6;
2014-01-31;151.2;
2014-02-28;253.2;
2014-03-31;274.4;
2014-04-30;40.4;
2014-05-31;55.6;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;119.8;
2014-10-31;226.2;
2014-11-30;44.8;
2014-12-31;228.2;
2015-01-31;234.8;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;68.2;
2015-11-30;46.4;
2015-12-31;null;
2016-01-31;34.2;
2016-02-29;78;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;91.4;
2016-09-30;26.8;
2016-10-31;121.8;
2016-11-30;114.6;
2016-12-31;92.8;
2017-01-31;152.8;
2017-02-28;159.6;
2017-03-31;184.8;
2017-04-30;170;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;205.4;
2017-10-31;216.8;
2017-11-30;50.6;
2017-12-31;79.2;
2018-01-31;121.4;
2018-02-28;38.6;
2018-03-31;109.2;
2018-04-30;79;
2018-05-31;151.2;
2018-06-30;52.6;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;196.4;
2018-12-31;172.8;
2019-01-31;429.8;
2019-02-28;67.6;
2019-03-31;15.2;
2019-04-30;196.8;
2019-05-31;183.2;
2019-06-30;27;
2019-07-31;173.2;
2019-08-31;88.4;
2019-09-30;84.8;
2019-10-31;338.8;
2019-11-30;72.8;
2019-12-31;17.4;
2020-01-31;103.8;
2020-02-29;35.8;
2020-03-31;39.8;
2020-04-30;59.2;
2020-05-31;146.4;
2020-06-30;200.8;
2020-07-31;44;
2020-08-31;63.4;
2020-09-30;110;
2020-10-31;63.8;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;36.2;
2022-01-31;null;

