Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2012-10-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2012-10-31;null;
2012-11-30;73.6;
2012-12-31;null;
2013-01-31;95.4;
2013-02-28;140.6;
2013-03-31;139;
2013-04-30;102.4;
2013-05-31;102.4;
2013-06-30;137;
2013-07-31;141.8;
2013-08-31;318;
2013-09-30;160;
2013-10-31;148.2;
2013-11-30;240.8;
2013-12-31;135.2;
2014-01-31;185.8;
2014-02-28;215.2;
2014-03-31;155.2;
2014-04-30;90.6;
2014-05-31;132.4;
2014-06-30;223.8;
2014-07-31;165;
2014-08-31;107.2;
2014-09-30;262.6;
2014-10-31;157.6;
2014-11-30;103.8;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;39.4;
2015-04-30;128;
2015-05-31;153.8;
2015-06-30;235.6;
2015-07-31;334.4;
2015-08-31;73.6;
2015-09-30;270.2;
2015-10-31;355.8;
2015-11-30;177;
2015-12-31;304.4;
2016-01-31;null;
2016-02-29;null;
2016-03-31;325.4;
2016-04-30;203;
2016-05-31;50.8;
2016-06-30;null;
2016-07-31;179.4;
2016-08-31;80.4;
2016-09-30;85;
2016-10-31;323.2;
2016-11-30;140.2;
2016-12-31;76.4;
2017-01-31;247.4;
2017-02-28;200.4;
2017-03-31;198.2;
2017-04-30;106.8;
2017-05-31;270.8;
2017-06-30;105.8;
2017-07-31;38.2;
2017-08-31;120.2;
2017-09-30;127;
2017-10-31;250.8;
2017-11-30;156.2;
2017-12-31;105.2;
2018-01-31;149.8;
2018-02-28;72.6;
2018-03-31;141.2;
2018-04-30;80.8;
2018-05-31;62;
2018-06-30;118;
2018-07-31;129;
2018-08-31;124;
2018-09-30;253.6;
2018-10-31;141;
2018-11-30;193.8;
2018-12-31;92;
2019-01-31;123.4;
2019-02-28;null;
2019-03-31;null;
2019-04-30;184.2;
2019-05-31;230;
2019-06-30;37.4;
2019-07-31;162.8;
2019-08-31;78;
2019-09-30;82.8;
2019-10-31;402;
2019-11-30;187.8;
2019-12-31;38.8;
2020-01-31;164.2;
2020-02-29;92.8;
2020-03-31;25.4;
2020-04-30;24.4;
2020-05-31;203.4;
2020-06-30;146.8;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;18.8;
2022-01-31;null;

