Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Operante
Data Inicial: 2012-12-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2012-12-31;null;
2013-01-31;75;
2013-02-28;126.8;
2013-03-31;172;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;233.2;
2013-11-30;147.8;
2013-12-31;157.4;
2014-01-31;157.6;
2014-02-28;101.6;
2014-03-31;127;
2014-04-30;119.8;
2014-05-31;264;
2014-06-30;356.6;
2014-07-31;181.2;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;107.6;
2014-12-31;135.6;
2015-01-31;322.4;
2015-02-28;null;
2015-03-31;37.8;
2015-04-30;201.6;
2015-05-31;178.4;
2015-06-30;263;
2015-07-31;243.4;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;152.2;
2015-12-31;515.2;
2016-01-31;59.2;
2016-02-29;174;
2016-03-31;270.4;
2016-04-30;150;
2016-05-31;72.2;
2016-06-30;16;
2016-07-31;169.4;
2016-08-31;101.2;
2016-09-30;64.8;
2016-10-31;275.6;
2016-11-30;101;
2016-12-31;62.2;
2017-01-31;52.4;
2017-02-28;169.6;
2017-03-31;142.8;
2017-04-30;216;
2017-05-31;322.6;
2017-06-30;182.4;
2017-07-31;36.6;
2017-08-31;190.6;
2017-09-30;109.6;
2017-10-31;256.4;
2017-11-30;229.6;
2017-12-31;126;
2018-01-31;340.8;
2018-02-28;140.8;
2018-03-31;157.8;
2018-04-30;83.2;
2018-05-31;115.2;
2018-06-30;94;
2018-07-31;114;
2018-08-31;91;
2018-09-30;183.8;
2018-10-31;194.2;
2018-11-30;239.2;
2018-12-31;209.2;
2019-01-31;205;
2019-02-28;126.4;
2019-03-31;175.8;
2019-04-30;177.6;
2019-05-31;214.2;
2019-06-30;22;
2019-07-31;150.4;
2019-08-31;74.2;
2019-09-30;83.2;
2019-10-31;329.4;
2019-11-30;222.4;
2019-12-31;19.4;
2020-01-31;137.8;
2020-02-29;32.6;
2020-03-31;25.2;
2020-04-30;61.4;
2020-05-31;184.6;
2020-06-30;229.6;
2020-07-31;349;
2020-08-31;179;
2020-09-30;87.4;
2020-10-31;52.6;
2020-11-30;94.8;
2020-12-31;115.2;
2021-01-31;203.6;
2021-02-28;99;
2021-03-31;142.4;
2021-04-30;27;
2021-05-31;244;
2021-06-30;193;
2021-07-31;25.2;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;17;
2021-12-31;41;
2022-01-31;null;

