Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2013-11-28
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2013-11-30;null;
2013-12-31;121.2;
2014-01-31;137;
2014-02-28;290;
2014-03-31;154.8;
2014-04-30;108.8;
2014-05-31;74;
2014-06-30;264.6;
2014-07-31;168;
2014-08-31;85.6;
2014-09-30;263;
2014-10-31;200.6;
2014-11-30;139.4;
2014-12-31;244.2;
2015-01-31;300.4;
2015-02-28;95.8;
2015-03-31;95.4;
2015-04-30;115.6;
2015-05-31;159.2;
2015-06-30;218;
2015-07-31;448.4;
2015-08-31;97.4;
2015-09-30;247.2;
2015-10-31;367.8;
2015-11-30;157.2;
2015-12-31;157;
2016-01-31;65.8;
2016-02-29;null;
2016-03-31;187.6;
2016-04-30;202.4;
2016-05-31;66.8;
2016-06-30;6.2;
2016-07-31;64.2;
2016-08-31;129.6;
2016-09-30;81;
2016-10-31;275.2;
2016-11-30;107.4;
2016-12-31;132.6;
2017-01-31;154;
2017-02-28;175.6;
2017-03-31;170;
2017-04-30;32;
2017-05-31;244;
2017-06-30;180.8;
2017-07-31;32.2;
2017-08-31;116.2;
2017-09-30;167;
2017-10-31;235.2;
2017-11-30;222.6;
2017-12-31;155.8;
2018-01-31;125;
2018-02-28;62.8;
2018-03-31;99.8;
2018-04-30;142.8;
2018-05-31;99;
2018-06-30;162.4;
2018-07-31;155;
2018-08-31;105.4;
2018-09-30;260;
2018-10-31;193;
2018-11-30;95.2;
2018-12-31;106.8;
2019-01-31;113;
2019-02-28;96.8;
2019-03-31;206.8;
2019-04-30;222.6;
2019-05-31;254.4;
2019-06-30;46.4;
2019-07-31;160.4;
2019-08-31;81.4;
2019-09-30;82.6;
2019-10-31;284.4;
2019-11-30;167.2;
2019-12-31;23;
2020-01-31;84.4;
2020-02-29;88.2;
2020-03-31;10.6;
2020-04-30;23.2;
2020-05-31;171.2;
2020-06-30;189.2;
2020-07-31;277;
2020-08-31;130.6;
2020-09-30;210;
2020-10-31;91.8;
2020-11-30;70.6;
2020-12-31;104.6;
2021-01-31;167.6;
2021-02-28;null;
2021-03-31;106.4;
2021-04-30;22;
2021-05-31;199;
2021-06-30;157.6;
2021-07-31;32.6;
2021-08-31;154.2;
2021-09-30;183.4;
2021-10-31;126.4;
2021-11-30;131.4;
2021-12-31;70.8;
2022-01-31;null;

