Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.0893814
Longitude: -53.82665025
Altitude: 462
Situacao: Operante
Data Inicial: 2016-08-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-08-31;null;
2016-09-30;60;
2016-10-31;285.8;
2016-11-30;208.6;
2016-12-31;119.2;
2017-01-31;206.4;
2017-02-28;130.6;
2017-03-31;213;
2017-04-30;291.6;
2017-05-31;380.2;
2017-06-30;121.4;
2017-07-31;6.2;
2017-08-31;198.6;
2017-09-30;149.6;
2017-10-31;271.8;
2017-11-30;135.8;
2017-12-31;127;
2018-01-31;265.8;
2018-02-28;119;
2018-03-31;215.2;
2018-04-30;174.2;
2018-05-31;114.4;
2018-06-30;194;
2018-07-31;120.6;
2018-08-31;119;
2018-09-30;266.2;
2018-10-31;137.4;
2018-11-30;381;
2018-12-31;110.4;
2019-01-31;314.8;
2019-02-28;149;
2019-03-31;322.6;
2019-04-30;222;
2019-05-31;256.2;
2019-06-30;25.6;
2019-07-31;126.2;
2019-08-31;null;
2019-09-30;null;
2019-10-31;318.6;
2019-11-30;196.2;
2019-12-31;62;
2020-01-31;143.8;
2020-02-29;84;
2020-03-31;37.2;
2020-04-30;35.6;
2020-05-31;198.8;
2020-06-30;117.8;
2020-07-31;226;
2020-08-31;74.8;
2020-09-30;188.4;
2020-10-31;48.2;
2020-11-30;165.4;
2020-12-31;121.8;
2021-01-31;197.6;
2021-02-28;63.4;
2021-03-31;99.2;
2021-04-30;41.4;
2021-05-31;197.4;
2021-06-30;146.2;
2021-07-31;33;
2021-08-31;114.6;
2021-09-30;155.2;
2021-10-31;110.2;
2021-11-30;40;
2021-12-31;31.8;
2022-01-31;null;

