Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2019-07-31;null;
2019-08-31;99.8;
2019-09-30;142.2;
2019-10-31;259;
2019-11-30;99;
2019-12-31;37.6;
2020-01-31;38.4;
2020-02-29;33.4;
2020-03-31;36.8;
2020-04-30;102.6;
2020-05-31;91.4;
2020-06-30;209.8;
2020-07-31;126.8;
2020-08-31;51.2;
2020-09-30;190.8;
2020-10-31;130.4;
2020-11-30;29.6;
2020-12-31;143.8;
2021-01-31;null;
2021-02-28;210.6;
2021-03-31;227.6;
2021-04-30;29.8;
2021-05-31;37;
2021-06-30;101.4;
2021-07-31;70;
2021-08-31;143.4;
2021-09-30;222;
2021-10-31;82.2;
2021-11-30;48.2;
2021-12-31;35.4;
2022-01-31;null;

