Nome: SAO VICENTE DO SUL
Codigo Estacao: A889
Latitude: -29.70222222
Longitude: -54.69444444
Altitude: 134
Situacao: Operante
Data Inicial: 2016-04-05
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-04-30;null;
2016-05-31;100;
2016-06-30;66.6;
2016-07-31;77.8;
2016-08-31;94.4;
2016-09-30;40.6;
2016-10-31;362.8;
2016-11-30;227.6;
2016-12-31;180.6;
2017-01-31;221.6;
2017-02-28;149.4;
2017-03-31;198.6;
2017-04-30;209.4;
2017-05-31;303.6;
2017-06-30;122.2;
2017-07-31;29.8;
2017-08-31;248.4;
2017-09-30;154.6;
2017-10-31;197.2;
2017-11-30;72.4;
2017-12-31;93.4;
2018-01-31;218.8;
2018-02-28;73.6;
2018-03-31;186.4;
2018-04-30;82.4;
2018-05-31;80.2;
2018-06-30;null;
2018-07-31;null;
2018-08-31;116.8;
2018-09-30;180.8;
2018-10-31;87.6;
2018-11-30;234.8;
2018-12-31;271.6;
2019-01-31;436.4;
2019-02-28;50.8;
2019-03-31;183;
2019-04-30;240.8;
2019-05-31;217.6;
2019-06-30;35.2;
2019-07-31;198.2;
2019-08-31;43.8;
2019-09-30;73.2;
2019-10-31;281.4;
2019-11-30;143.4;
2019-12-31;30.6;
2020-01-31;245.8;
2020-02-29;41.4;
2020-03-31;37.6;
2020-04-30;32;
2020-05-31;127.2;
2020-06-30;null;
2020-07-31;null;
2020-08-31;40.4;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;56.8;
2021-01-31;262.4;
2021-02-28;60;
2021-03-31;120.8;
2021-04-30;59.4;
2021-05-31;250;
2021-06-30;198.4;
2021-07-31;21.8;
2021-08-31;67.8;
2021-09-30;250.8;
2021-10-31;139.8;
2021-11-30;57;
2021-12-31;33.4;
2022-01-31;null;

