Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-03-31;null;
2018-04-30;247;
2018-05-31;56.6;
2018-06-30;123.2;
2018-07-31;214;
2018-08-31;150.2;
2018-09-30;304.6;
2018-10-31;94.4;
2018-11-30;138.6;
2018-12-31;161.2;
2019-01-31;205.2;
2019-02-28;55;
2019-03-31;71.4;
2019-04-30;null;
2019-05-31;189.2;
2019-06-30;58;
2019-07-31;263.4;
2019-08-31;119.8;
2019-09-30;102.8;
2019-10-31;354;
2019-11-30;110.4;
2019-12-31;52.4;
2020-01-31;117.4;
2020-02-29;9.4;
2020-03-31;29;
2020-04-30;40.2;
2020-05-31;171.2;
2020-06-30;151.6;
2020-07-31;135;
2020-08-31;85.8;
2020-09-30;228.4;
2020-10-31;105.4;
2020-11-30;72.8;
2020-12-31;68;
2021-01-31;null;
2021-02-28;148.8;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;261.6;
2021-10-31;77;
2021-11-30;68.6;
2021-12-31;46.6;
2022-01-31;null;

