Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 545
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-03-31;null;
2016-04-30;null;
2016-05-31;46.4;
2016-06-30;11;
2016-07-31;170.6;
2016-08-31;129.4;
2016-09-30;54;
2016-10-31;321.2;
2016-11-30;68.8;
2016-12-31;175.2;
2017-01-31;135;
2017-02-28;156.8;
2017-03-31;204;
2017-04-30;212;
2017-05-31;345;
2017-06-30;166;
2017-07-31;29.6;
2017-08-31;103.8;
2017-09-30;131.4;
2017-10-31;271.2;
2017-11-30;221.6;
2017-12-31;120;
2018-01-31;187;
2018-02-28;83;
2018-03-31;125;
2018-04-30;41.4;
2018-05-31;null;
2018-06-30;null;
2018-07-31;186.4;
2018-08-31;167.4;
2018-09-30;220.8;
2018-10-31;247.8;
2018-11-30;224;
2018-12-31;177;
2019-01-31;175.2;
2019-02-28;196;
2019-03-31;154.6;
2019-04-30;153.2;
2019-05-31;208.6;
2019-06-30;34.6;
2019-07-31;120.2;
2019-08-31;72.6;
2019-09-30;74.8;
2019-10-31;318.4;
2019-11-30;192.4;
2019-12-31;48.4;
2020-01-31;153;
2020-02-29;89;
2020-03-31;10.4;
2020-04-30;43.8;
2020-05-31;131.4;
2020-06-30;184.2;
2020-07-31;500.2;
2020-08-31;115.6;
2020-09-30;102.4;
2020-10-31;30.2;
2020-11-30;86;
2020-12-31;118.8;
2021-01-31;381.4;
2021-02-28;92.8;
2021-03-31;126;
2021-04-30;13.2;
2021-05-31;223.8;
2021-06-30;null;
2021-07-31;41.4;
2021-08-31;112.4;
2021-09-30;186.8;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

