Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2016-11-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-11-30;null;
2016-12-31;154;
2017-01-31;141.4;
2017-02-28;null;
2017-03-31;101;
2017-04-30;87.4;
2017-05-31;200;
2017-06-30;121;
2017-07-31;8.2;
2017-08-31;91;
2017-09-30;126;
2017-10-31;197.2;
2017-11-30;145;
2017-12-31;81.8;
2018-01-31;141;
2018-02-28;114.4;
2018-03-31;145.2;
2018-04-30;72.2;
2018-05-31;77;
2018-06-30;177.8;
2018-07-31;188.2;
2018-08-31;86.6;
2018-09-30;162.8;
2018-10-31;265.6;
2018-11-30;99.6;
2018-12-31;139.6;
2019-01-31;285;
2019-02-28;182;
2019-03-31;112.2;
2019-04-30;140.8;
2019-05-31;null;
2019-06-30;21.4;
2019-07-31;97.6;
2019-08-31;51.6;
2019-09-30;75.8;
2019-10-31;248;
2019-11-30;123.6;
2019-12-31;57.6;
2020-01-31;332.4;
2020-02-29;72.6;
2020-03-31;20;
2020-04-30;35.4;
2020-05-31;66.4;
2020-06-30;null;
2020-07-31;null;
2020-08-31;97.4;
2020-09-30;117.8;
2020-10-31;110.2;
2020-11-30;161.8;
2020-12-31;151;
2021-01-31;199;
2021-02-28;67;
2021-03-31;89.8;
2021-04-30;35.2;
2021-05-31;196.8;
2021-06-30;129.6;
2021-07-31;35.6;
2021-08-31;81;
2021-09-30;141.2;
2021-10-31;91.8;
2021-11-30;113.8;
2021-12-31;53;
2022-01-31;null;

