Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2019-02-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2019-02-28;null;
2019-03-31;174;
2019-04-30;134.2;
2019-05-31;404.4;
2019-06-30;25;
2019-07-31;94.2;
2019-08-31;11.8;
2019-09-30;69.8;
2019-10-31;207.6;
2019-11-30;227.6;
2019-12-31;128;
2020-01-31;191.6;
2020-02-29;144.4;
2020-03-31;49.4;
2020-04-30;83.2;
2020-05-31;133.4;
2020-06-30;300.2;
2020-07-31;211.8;
2020-08-31;179;
2020-09-30;64.2;
2020-10-31;43.8;
2020-11-30;115.6;
2020-12-31;244.6;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;17.8;
2021-05-31;166.2;
2021-06-30;165.8;
2021-07-31;51.8;
2021-08-31;36.6;
2021-09-30;221.8;
2021-10-31;213.8;
2021-11-30;109.8;
2021-12-31;33.8;
2022-01-31;null;

