Nome: Santa Vitoria do Palmar - Barra do Chui
Codigo Estacao: A899
Latitude: -33.74222221
Longitude: -53.37222221
Altitude: 7.41
Situacao: Pane
Data Inicial: 2008-03-07
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;35.6;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;103.8;
2008-09-30;38.4;
2008-10-31;21.2;
2008-11-30;33.2;
2008-12-31;87.6;
2009-01-31;237.2;
2009-02-28;83.4;
2009-03-31;271.4;
2009-04-30;26.8;
2009-05-31;112.4;
2009-06-30;67.8;
2009-07-31;35.2;
2009-08-31;104.4;
2009-09-30;74;
2009-10-31;101.2;
2009-11-30;null;
2009-12-31;142.8;
2010-01-31;38.6;
2010-02-28;281.6;
2010-03-31;156.2;
2010-04-30;77;
2010-05-31;72.6;
2010-06-30;70.6;
2010-07-31;175.8;
2010-08-31;40.4;
2010-09-30;116;
2010-10-31;13.6;
2010-11-30;62.6;
2010-12-31;33.8;
2011-01-31;55.2;
2011-02-28;166.8;
2011-03-31;38.6;
2011-04-30;164;
2011-05-31;161;
2011-06-30;66.8;
2011-07-31;10.4;
2011-08-31;98.6;
2011-09-30;48.8;
2011-10-31;125.8;
2011-11-30;11.6;
2011-12-31;41.8;
2012-01-31;10.6;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;29.2;
2012-06-30;154.2;
2012-07-31;47.2;
2012-08-31;118.8;
2012-09-30;40.2;
2012-10-31;121;
2012-11-30;73.2;
2012-12-31;205.4;
2013-01-31;44.4;
2013-02-28;null;
2013-03-31;46.2;
2013-04-30;110;
2013-05-31;128;
2013-06-30;48.4;
2013-07-31;77.2;
2013-08-31;128.4;
2013-09-30;236.4;
2013-10-31;34.8;
2013-11-30;121.8;
2013-12-31;42.4;
2014-01-31;206.2;
2014-02-28;223.4;
2014-03-31;89;
2014-04-30;67.8;
2014-05-31;61.2;
2014-06-30;112.8;
2014-07-31;97.6;
2014-08-31;30.4;
2014-09-30;149.4;
2014-10-31;null;
2014-11-30;null;
2014-12-31;123;
2015-01-31;215.8;
2015-02-28;62.8;
2015-03-31;null;
2015-04-30;null;
2015-05-31;65.8;
2015-06-30;35;
2015-07-31;48.6;
2015-08-31;337.6;
2015-09-30;105.2;
2015-10-31;62.2;
2015-11-30;60.8;
2015-12-31;72.6;
2016-01-31;27.2;
2016-02-29;98.8;
2016-03-31;113.6;
2016-04-30;348.6;
2016-05-31;58;
2016-06-30;31.4;
2016-07-31;161.8;
2016-08-31;96.8;
2016-09-30;97.2;
2016-10-31;116.6;
2016-11-30;52.6;
2016-12-31;149.4;
2017-01-31;77.4;
2017-02-28;155.2;
2017-03-31;59.2;
2017-04-30;49.6;
2017-05-31;127;
2017-06-30;42.6;
2017-07-31;71.4;
2017-08-31;166.6;
2017-09-30;164.2;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;83;
2018-05-31;38;
2018-06-30;78.8;
2018-07-31;194;
2018-08-31;134.8;
2018-09-30;103;
2018-10-31;81.4;
2018-11-30;93.2;
2018-12-31;132;
2019-01-31;213.4;
2019-02-28;13.8;
2019-03-31;85.6;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;99.2;
2019-08-31;108.4;
2019-09-30;74.4;
2019-10-31;286.6;
2019-11-30;63.4;
2019-12-31;69.6;
2020-01-31;102.2;
2020-02-29;78.2;
2020-03-31;12.8;
2020-04-30;67;
2020-05-31;92;
2020-06-30;256.6;
2020-07-31;79;
2020-08-31;62.2;
2020-09-30;111.4;
2020-10-31;47;
2020-11-30;27.8;
2020-12-31;43.8;
2021-01-31;93.4;
2021-02-28;341.4;
2021-03-31;116.8;
2021-04-30;119;
2021-05-31;66;
2021-06-30;178.2;
2021-07-31;83.2;
2021-08-31;57.2;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

