Nome: SORRISO
Codigo Estacao: A904
Latitude: -12.555
Longitude: -55.72277777
Altitude: 379.31
Situacao: Pane
Data Inicial: 2002-12-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-12-31;null;
2003-01-31;null;
2003-02-28;259.8;
2003-03-31;294.2;
2003-04-30;247.2;
2003-05-31;4.2;
2003-06-30;0;
2003-07-31;0;
2003-08-31;0;
2003-09-30;57.8;
2003-10-31;196.6;
2003-11-30;370.6;
2003-12-31;370.4;
2004-01-31;444.4;
2004-02-29;null;
2004-03-31;319.4;
2004-04-30;98.2;
2004-05-31;71.2;
2004-06-30;0;
2004-07-31;30;
2004-08-31;.2;
2004-09-30;26;
2004-10-31;102.2;
2004-11-30;null;
2004-12-31;0;
2005-01-31;0;
2005-02-28;null;
2005-03-31;0;
2005-04-30;1;
2005-05-31;null;
2005-06-30;0;
2005-07-31;0;
2005-08-31;.2;
2005-09-30;null;
2005-10-31;0;
2005-11-30;0;
2005-12-31;0;
2006-01-31;0;
2006-02-28;null;
2006-03-31;0;
2006-04-30;null;
2006-05-31;null;
2006-06-30;0;
2006-07-31;0;
2006-08-31;6;
2006-09-30;53.8;
2006-10-31;137.8;
2006-11-30;149.4;
2006-12-31;364.2;
2007-01-31;270;
2007-02-28;542.6;
2007-03-31;140.6;
2007-04-30;89;
2007-05-31;null;
2007-06-30;null;
2007-07-31;9.6;
2007-08-31;0;
2007-09-30;18.6;
2007-10-31;169.4;
2007-11-30;158.6;
2007-12-31;353.2;
2008-01-31;403.2;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;49.8;
2008-06-30;0;
2008-07-31;0;
2008-08-31;1.2;
2008-09-30;59.8;
2008-10-31;203.6;
2008-11-30;268.8;
2008-12-31;346.6;
2009-01-31;73.4;
2009-02-28;null;
2009-03-31;151.4;
2009-04-30;null;
2009-05-31;56.8;
2009-06-30;14;
2009-07-31;null;
2009-08-31;24.2;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;0;
2010-10-31;135.6;
2010-11-30;277;
2010-12-31;300.2;
2011-01-31;352.4;
2011-02-28;373;
2011-03-31;34.4;
2011-04-30;null;
2011-05-31;0;
2011-06-30;0;
2011-07-31;0;
2011-08-31;0;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;227.4;
2012-03-31;150.2;
2012-04-30;87;
2012-05-31;66;
2012-06-30;18.8;
2012-07-31;0;
2012-08-31;0;
2012-09-30;93.8;
2012-10-31;138.4;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;47.4;
2013-04-30;null;
2013-05-31;45.8;
2013-06-30;null;
2013-07-31;6;
2013-08-31;null;
2013-09-30;null;
2013-10-31;261.2;
2013-11-30;134;
2013-12-31;137;
2014-01-31;null;
2014-02-28;91.4;
2014-03-31;119.8;
2014-04-30;60.8;
2014-05-31;2;
2014-06-30;17;
2014-07-31;null;
2014-08-31;null;
2014-09-30;91;
2014-10-31;null;
2014-11-30;50.8;
2014-12-31;358;
2015-01-31;.6;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;0;
2016-08-31;33.8;
2016-09-30;110.6;
2016-10-31;163;
2016-11-30;292.4;
2016-12-31;390.8;
2017-01-31;298.6;
2017-02-28;318.6;
2017-03-31;329.6;
2017-04-30;100.8;
2017-05-31;20.6;
2017-06-30;5.2;
2017-07-31;0;
2017-08-31;15.4;
2017-09-30;80.2;
2017-10-31;128.6;
2017-11-30;364.4;
2017-12-31;292.6;
2018-01-31;398.2;
2018-02-28;315;
2018-03-31;419.4;
2018-04-30;127.8;
2018-05-31;104.2;
2018-06-30;0;
2018-07-31;0;
2018-08-31;12.6;
2018-09-30;68.4;
2018-10-31;179.6;
2018-11-30;345.6;
2018-12-31;184.8;
2019-01-31;278;
2019-02-28;407.8;
2019-03-31;324.4;
2019-04-30;181.8;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;0;
2019-09-30;34.8;
2019-10-31;191.2;
2019-11-30;268.4;
2019-12-31;442.2;
2020-01-31;201.2;
2020-02-29;211;
2020-03-31;133.4;
2020-04-30;208.8;
2020-05-31;35.2;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

