Nome: GUARANTA DO NORTE
Codigo Estacao: A906
Latitude: -9.9525
Longitude: -54.89777777
Altitude: 283.58
Situacao: Pane
Data Inicial: 2002-12-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-12-31;null;
2003-01-31;null;
2003-02-28;null;
2003-03-31;387.8;
2003-04-30;182.4;
2003-05-31;147.6;
2003-06-30;2.2;
2003-07-31;.6;
2003-08-31;10;
2003-09-30;93.8;
2003-10-31;333;
2003-11-30;182.6;
2003-12-31;288.6;
2004-01-31;487.4;
2004-02-29;556.6;
2004-03-31;505.2;
2004-04-30;260.2;
2004-05-31;56;
2004-06-30;3;
2004-07-31;10.8;
2004-08-31;49.8;
2004-09-30;150.4;
2004-10-31;306.6;
2004-11-30;327.2;
2004-12-31;69.8;
2005-01-31;24;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;0;
2007-07-31;0;
2007-08-31;0;
2007-09-30;0;
2007-10-31;0;
2007-11-30;.2;
2007-12-31;0;
2008-01-31;0;
2008-02-29;0;
2008-03-31;0;
2008-04-30;0;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;0;
2008-10-31;0;
2008-11-30;0;
2008-12-31;0;
2009-01-31;0;
2009-02-28;0;
2009-03-31;0;
2009-04-30;0;
2009-05-31;0;
2009-06-30;0;
2009-07-31;0;
2009-08-31;0;
2009-09-30;0;
2009-10-31;0;
2009-11-30;0;
2009-12-31;0;
2010-01-31;0;
2010-02-28;0;
2010-03-31;0;
2010-04-30;0;
2010-05-31;0;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;0;
2010-11-30;0;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;28.4;
2011-10-31;164;
2011-11-30;299.8;
2011-12-31;334.6;
2012-01-31;370;
2012-02-29;228.6;
2012-03-31;389.8;
2012-04-30;235.4;
2012-05-31;51.2;
2012-06-30;8.4;
2012-07-31;.6;
2012-08-31;0;
2012-09-30;73;
2012-10-31;208.6;
2012-11-30;284;
2012-12-31;270;
2013-01-31;null;
2013-02-28;null;
2013-03-31;355;
2013-04-30;285.6;
2013-05-31;35.2;
2013-06-30;0;
2013-07-31;0;
2013-08-31;0;
2013-09-30;131.4;
2013-10-31;160.8;
2013-11-30;288.2;
2013-12-31;249.8;
2014-01-31;290.6;
2014-02-28;99.4;
2014-03-31;62.2;
2014-04-30;42.6;
2014-05-31;65;
2014-06-30;0;
2014-07-31;0;
2014-08-31;1.4;
2014-09-30;88.4;
2014-10-31;99.2;
2014-11-30;183.4;
2014-12-31;287.6;
2015-01-31;214.4;
2015-02-28;254.8;
2015-03-31;188.4;
2015-04-30;251.6;
2015-05-31;69;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;71.4;
2015-10-31;117.4;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;258.4;
2016-04-30;134.6;
2016-05-31;10.4;
2016-06-30;44.4;
2016-07-31;0;
2016-08-31;25.2;
2016-09-30;null;
2016-10-31;null;
2016-11-30;83.2;
2016-12-31;520.6;
2017-01-31;311.6;
2017-02-28;238.2;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;.8;
2017-09-30;null;
2017-10-31;157.6;
2017-11-30;267.8;
2017-12-31;395.6;
2018-01-31;440.4;
2018-02-28;369.8;
2018-03-31;263.4;
2018-04-30;319.6;
2018-05-31;43.8;
2018-06-30;.6;
2018-07-31;0;
2018-08-31;39.2;
2018-09-30;111.6;
2018-10-31;191.8;
2018-11-30;260.4;
2018-12-31;267.2;
2019-01-31;261.2;
2019-02-28;271.8;
2019-03-31;247.4;
2019-04-30;222.4;
2019-05-31;95.2;
2019-06-30;0;
2019-07-31;1.2;
2019-08-31;0;
2019-09-30;52.4;
2019-10-31;24.6;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;90.6;
2020-03-31;122.2;
2020-04-30;26.4;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

