Nome: AGUA BOA
Codigo Estacao: A908
Latitude: -14.01638888
Longitude: -52.21166666
Altitude: 440
Situacao: Pane
Data Inicial: 2006-12-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-12-31;null;
2007-01-31;259.4;
2007-02-28;460;
2007-03-31;84;
2007-04-30;69;
2007-05-31;48.4;
2007-06-30;0;
2007-07-31;15;
2007-08-31;0;
2007-09-30;0;
2007-10-31;129.2;
2007-11-30;271;
2007-12-31;211.8;
2008-01-31;228.4;
2008-02-29;377.4;
2008-03-31;199.4;
2008-04-30;158.6;
2008-05-31;.4;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;42.2;
2008-10-31;126.6;
2008-11-30;204.4;
2008-12-31;236.2;
2009-01-31;191.2;
2009-02-28;210.8;
2009-03-31;186.6;
2009-04-30;125;
2009-05-31;72;
2009-06-30;34.6;
2009-07-31;0;
2009-08-31;28.8;
2009-09-30;103.4;
2009-10-31;162.4;
2009-11-30;283.4;
2009-12-31;264.2;
2010-01-31;378.4;
2010-02-28;159.6;
2010-03-31;112;
2010-04-30;47.4;
2010-05-31;0;
2010-06-30;1.2;
2010-07-31;1;
2010-08-31;0;
2010-09-30;9.2;
2010-10-31;56.8;
2010-11-30;298.6;
2010-12-31;254.6;
2011-01-31;484.2;
2011-02-28;289.8;
2011-03-31;191;
2011-04-30;null;
2011-05-31;2.8;
2011-06-30;13.2;
2011-07-31;0;
2011-08-31;0;
2011-09-30;24.4;
2011-10-31;210.4;
2011-11-30;227.4;
2011-12-31;229.8;
2012-01-31;454.6;
2012-02-29;251.2;
2012-03-31;159.2;
2012-04-30;55;
2012-05-31;9.2;
2012-06-30;31.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;80.8;
2012-10-31;94.2;
2012-11-30;234.8;
2012-12-31;208;
2013-01-31;617;
2013-02-28;261;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;18.6;
2013-07-31;0;
2013-08-31;0;
2013-09-30;15.8;
2013-10-31;130.6;
2013-11-30;272.2;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;0;
2014-10-31;null;
2014-11-30;null;
2014-12-31;173.6;
2015-01-31;181.2;
2015-02-28;254;
2015-03-31;245;
2015-04-30;185.8;
2015-05-31;80.6;
2015-06-30;1;
2015-07-31;1;
2015-08-31;0;
2015-09-30;1.2;
2015-10-31;33.4;
2015-11-30;248.6;
2015-12-31;106;
2016-01-31;453;
2016-02-29;109.2;
2016-03-31;293.4;
2016-04-30;15.4;
2016-05-31;0;
2016-06-30;0;
2016-07-31;0;
2016-08-31;13.4;
2016-09-30;2.4;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;154.8;
2017-02-28;252;
2017-03-31;163.8;
2017-04-30;158.2;
2017-05-31;21.8;
2017-06-30;.2;
2017-07-31;0;
2017-08-31;0;
2017-09-30;3.8;
2017-10-31;68;
2017-11-30;357;
2017-12-31;295.8;
2018-01-31;167.2;
2018-02-28;192;
2018-03-31;87.6;
2018-04-30;156.6;
2018-05-31;12.4;
2018-06-30;0;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;508.2;
2018-12-31;262.6;
2019-01-31;163.6;
2019-02-28;201.2;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

