Nome: APIACAS
Codigo Estacao: A910
Latitude: -9.56333333
Longitude: -57.3936111
Altitude: 217.75
Situacao: Pane
Data Inicial: 2006-10-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;146;
2006-12-31;293.8;
2007-01-31;240.2;
2007-02-28;320.4;
2007-03-31;233.2;
2007-04-30;140.8;
2007-05-31;28.4;
2007-06-30;0;
2007-07-31;2.6;
2007-08-31;2.4;
2007-09-30;45.8;
2007-10-31;180.6;
2007-11-30;193;
2007-12-31;241.4;
2008-01-31;459.8;
2008-02-29;null;
2008-03-31;488.8;
2008-04-30;218.2;
2008-05-31;73.6;
2008-06-30;0;
2008-07-31;0;
2008-08-31;8.8;
2008-09-30;50.4;
2008-10-31;158.6;
2008-11-30;221;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;52.2;
2010-06-30;2.8;
2010-07-31;1.8;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;279;
2011-04-30;158.6;
2011-05-31;66.8;
2011-06-30;2.4;
2011-07-31;0;
2011-08-31;3.6;
2011-09-30;68.8;
2011-10-31;344.2;
2011-11-30;327.8;
2011-12-31;173.8;
2012-01-31;530.6;
2012-02-29;270;
2012-03-31;440.4;
2012-04-30;312.6;
2012-05-31;55.4;
2012-06-30;null;
2012-07-31;0;
2012-08-31;0;
2012-09-30;84.8;
2012-10-31;180;
2012-11-30;409.8;
2012-12-31;229.2;
2013-01-31;447.6;
2013-02-28;259.8;
2013-03-31;477.6;
2013-04-30;162.2;
2013-05-31;69.6;
2013-06-30;null;
2013-07-31;0;
2013-08-31;1;
2013-09-30;65.4;
2013-10-31;183;
2013-11-30;null;
2013-12-31;null;
2014-01-31;113;
2014-02-28;null;
2014-03-31;289.8;
2014-04-30;186.6;
2014-05-31;69;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;50.2;
2014-10-31;null;
2014-11-30;null;
2014-12-31;291;
2015-01-31;null;
2015-02-28;77.4;
2015-03-31;26.8;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;280;
2016-04-30;63;
2016-05-31;54.6;
2016-06-30;18;
2016-07-31;0;
2016-08-31;.6;
2016-09-30;62;
2016-10-31;143;
2016-11-30;111.6;
2016-12-31;144;
2017-01-31;118;
2017-02-28;null;
2017-03-31;115;
2017-04-30;144.8;
2017-05-31;60.8;
2017-06-30;4;
2017-07-31;0;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;250.4;
2017-12-31;188;
2018-01-31;152.2;
2018-02-28;287.2;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;1.4;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;311.8;
2019-01-31;434.4;
2019-02-28;255;
2019-03-31;322.8;
2019-04-30;135.8;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;303;
2020-03-31;505.2;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

