Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-10-31;null;
2017-11-30;166.6;
2017-12-31;173.6;
2018-01-31;371.2;
2018-02-28;446.8;
2018-03-31;179.6;
2018-04-30;112.8;
2018-05-31;44.8;
2018-06-30;.2;
2018-07-31;0;
2018-08-31;88.4;
2018-09-30;51.8;
2018-10-31;140.8;
2018-11-30;351.4;
2018-12-31;232.4;
2019-01-31;369.8;
2019-02-28;326.8;
2019-03-31;326.4;
2019-04-30;130;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;5.8;
2019-09-30;78;
2019-10-31;206;
2019-11-30;296.6;
2019-12-31;326.6;
2020-01-31;142.8;
2020-02-29;336.6;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;5.6;
2020-07-31;0;
2020-08-31;0;
2020-09-30;38.2;
2020-10-31;98;
2020-11-30;102.8;
2020-12-31;169.8;
2021-01-31;null;
2021-02-28;365.8;
2021-03-31;272.8;
2021-04-30;152.6;
2021-05-31;75.8;
2021-06-30;2.6;
2021-07-31;0;
2021-08-31;4.6;
2021-09-30;67.2;
2021-10-31;128.4;
2021-11-30;268.2;
2021-12-31;191;
2022-01-31;null;

