Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Pane
Data Inicial: 2006-11-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;294.6;
2007-01-31;314.8;
2007-02-28;1.4;
2007-03-31;22;
2007-04-30;187.6;
2007-05-31;42;
2007-06-30;3.4;
2007-07-31;1.8;
2007-08-31;12.6;
2007-09-30;28.2;
2007-10-31;240.8;
2007-11-30;211.2;
2007-12-31;345;
2008-01-31;365.2;
2008-02-29;273.4;
2008-03-31;232.6;
2008-04-30;246.2;
2008-05-31;33.2;
2008-06-30;8.6;
2008-07-31;1;
2008-08-31;38;
2008-09-30;25.6;
2008-10-31;197;
2008-11-30;91.8;
2008-12-31;305.2;
2009-01-31;280.2;
2009-02-28;319.4;
2009-03-31;410.4;
2009-04-30;253.8;
2009-05-31;129.8;
2009-06-30;14;
2009-07-31;7.4;
2009-08-31;52.2;
2009-09-30;101;
2009-10-31;224.8;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;256.4;
2010-04-30;88;
2010-05-31;23;
2010-06-30;4.2;
2010-07-31;21;
2010-08-31;2.8;
2010-09-30;27.8;
2010-10-31;152;
2010-11-30;270.8;
2010-12-31;149.4;
2011-01-31;351.2;
2011-02-28;246.4;
2011-03-31;437.6;
2011-04-30;87.8;
2011-05-31;51.6;
2011-06-30;14;
2011-07-31;.8;
2011-08-31;3.4;
2011-09-30;89.4;
2011-10-31;70.6;
2011-11-30;204.8;
2011-12-31;251.8;
2012-01-31;313.4;
2012-02-29;323;
2012-03-31;323.8;
2012-04-30;282.4;
2012-05-31;144.6;
2012-06-30;64.6;
2012-07-31;8.8;
2012-08-31;.8;
2012-09-30;65.8;
2012-10-31;null;
2012-11-30;null;
2012-12-31;233.6;
2013-01-31;186;
2013-02-28;null;
2013-03-31;null;
2013-04-30;178;
2013-05-31;21.6;
2013-06-30;184;
2013-07-31;8.4;
2013-08-31;.8;
2013-09-30;21.8;
2013-10-31;194.2;
2013-11-30;225.4;
2013-12-31;207;
2014-01-31;269;
2014-02-28;259;
2014-03-31;476.6;
2014-04-30;198.6;
2014-05-31;136;
2014-06-30;11.2;
2014-07-31;10.2;
2014-08-31;11.8;
2014-09-30;51.6;
2014-10-31;187.4;
2014-11-30;253.6;
2014-12-31;332.2;
2015-01-31;230;
2015-02-28;349.2;
2015-03-31;493.4;
2015-04-30;277;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;298.6;
2015-12-31;240.6;
2016-01-31;302.8;
2016-02-29;443.8;
2016-03-31;209;
2016-04-30;83.8;
2016-05-31;88;
2016-06-30;7;
2016-07-31;3.2;
2016-08-31;72;
2016-09-30;104.4;
2016-10-31;78;
2016-11-30;178.6;
2016-12-31;343.4;
2017-01-31;257.6;
2017-02-28;208.8;
2017-03-31;414.4;
2017-04-30;186.6;
2017-05-31;63.6;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;40.4;
2017-10-31;123.6;
2017-11-30;135.4;
2017-12-31;242.2;
2018-01-31;381;
2018-02-28;303.4;
2018-03-31;262.8;
2018-04-30;240.8;
2018-05-31;94.2;
2018-06-30;12.8;
2018-07-31;3.8;
2018-08-31;3.6;
2018-09-30;120.6;
2018-10-31;240.8;
2018-11-30;335;
2018-12-31;380.8;
2019-01-31;299.6;
2019-02-28;457.4;
2019-03-31;255.8;
2019-04-30;267.2;
2019-05-31;90.2;
2019-06-30;7.4;
2019-07-31;6;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;341.2;
2020-01-31;168;
2020-02-29;295.6;
2020-03-31;163;
2020-04-30;47.6;
2020-05-31;61.2;
2020-06-30;18.8;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;61;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

