Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Pane
Data Inicial: 2006-11-01
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;92.4;
2006-12-31;177.8;
2007-01-31;290.8;
2007-02-28;434.4;
2007-03-31;197;
2007-04-30;98.2;
2007-05-31;52;
2007-06-30;2.2;
2007-07-31;59.2;
2007-08-31;1.6;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;337.4;
2009-01-31;378;
2009-02-28;307.2;
2009-03-31;194.2;
2009-04-30;213.2;
2009-05-31;69.8;
2009-06-30;39.8;
2009-07-31;0;
2009-08-31;18.6;
2009-09-30;56;
2009-10-31;181;
2009-11-30;265.6;
2009-12-31;313.6;
2010-01-31;347.4;
2010-02-28;418.8;
2010-03-31;317;
2010-04-30;38;
2010-05-31;26.4;
2010-06-30;.4;
2010-07-31;1;
2010-08-31;13.6;
2010-09-30;4.4;
2010-10-31;214.4;
2010-11-30;229;
2010-12-31;233;
2011-01-31;310.2;
2011-02-28;205.6;
2011-03-31;161.6;
2011-04-30;220.8;
2011-05-31;25.2;
2011-06-30;.2;
2011-07-31;0;
2011-08-31;20.8;
2011-09-30;24.6;
2011-10-31;218.4;
2011-11-30;304.4;
2011-12-31;353;
2012-01-31;253.8;
2012-02-29;372.2;
2012-03-31;241;
2012-04-30;151.6;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;378.8;
2013-04-30;167;
2013-05-31;11.8;
2013-06-30;13.4;
2013-07-31;.4;
2013-08-31;0;
2013-09-30;75;
2013-10-31;286.4;
2013-11-30;227;
2013-12-31;336.2;
2014-01-31;241.6;
2014-02-28;256.6;
2014-03-31;336.8;
2014-04-30;164.2;
2014-05-31;162.8;
2014-06-30;.2;
2014-07-31;2.8;
2014-08-31;10.2;
2014-09-30;115;
2014-10-31;75.8;
2014-11-30;208.2;
2014-12-31;202.2;
2015-01-31;192.6;
2015-02-28;341.4;
2015-03-31;211.6;
2015-04-30;142.2;
2015-05-31;114.2;
2015-06-30;1.4;
2015-07-31;5.6;
2015-08-31;42.6;
2015-09-30;10.8;
2015-10-31;107;
2015-11-30;92.8;
2015-12-31;325.8;
2016-01-31;284;
2016-02-29;137.4;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;.6;
2016-07-31;0;
2016-08-31;40.2;
2016-09-30;73.6;
2016-10-31;200.2;
2016-11-30;158.2;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;1;
2017-09-30;6.6;
2017-10-31;238;
2017-11-30;193.2;
2017-12-31;403.8;
2018-01-31;186.8;
2018-02-28;297;
2018-03-31;200.8;
2018-04-30;150.6;
2018-05-31;41.8;
2018-06-30;66.6;
2018-07-31;0;
2018-08-31;38.6;
2018-09-30;81.8;
2018-10-31;84.4;
2018-11-30;336;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;.2;
2019-07-31;.8;
2019-08-31;4.8;
2019-09-30;71.6;
2019-10-31;329.6;
2019-11-30;146.2;
2019-12-31;352;
2020-01-31;187.8;
2020-02-29;null;
2020-03-31;161.2;
2020-04-30;166;
2020-05-31;67.8;
2020-06-30;5;
2020-07-31;0;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

