Nome: PARANATINGA
Codigo Estacao: A915
Latitude: -14.42138888
Longitude: -54.0361111
Altitude: 476.91
Situacao: Pane
Data Inicial: 2006-12-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-12-31;null;
2007-01-31;93.6;
2007-02-28;20.6;
2007-03-31;6.6;
2007-04-30;54.2;
2007-05-31;20;
2007-06-30;0;
2007-07-31;4.6;
2007-08-31;0;
2007-09-30;0;
2007-10-31;3.8;
2007-11-30;0;
2007-12-31;0;
2008-01-31;0;
2008-02-29;0;
2008-03-31;0;
2008-04-30;0;
2008-05-31;0;
2008-06-30;22.8;
2008-07-31;0;
2008-08-31;0;
2008-09-30;0;
2008-10-31;0;
2008-11-30;0;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;6.8;
2010-10-31;110.6;
2010-11-30;421.2;
2010-12-31;301.6;
2011-01-31;303.2;
2011-02-28;276.2;
2011-03-31;393.2;
2011-04-30;66;
2011-05-31;10.6;
2011-06-30;13.8;
2011-07-31;0;
2011-08-31;null;
2011-09-30;null;
2011-10-31;119.6;
2011-11-30;230.8;
2011-12-31;283.6;
2012-01-31;299;
2012-02-29;151.8;
2012-03-31;182.8;
2012-04-30;110.6;
2012-05-31;41.8;
2012-06-30;51;
2012-07-31;1.6;
2012-08-31;1.8;
2012-09-30;72.2;
2012-10-31;78.2;
2012-11-30;282.2;
2012-12-31;173.4;
2013-01-31;358;
2013-02-28;231.2;
2013-03-31;337.8;
2013-04-30;83.6;
2013-05-31;18.4;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;222.2;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;362.6;
2014-04-30;118.6;
2014-05-31;2.8;
2014-06-30;20;
2014-07-31;7.2;
2014-08-31;0;
2014-09-30;69;
2014-10-31;97.8;
2014-11-30;219.4;
2014-12-31;412.6;
2015-01-31;121;
2015-02-28;364;
2015-03-31;251;
2015-04-30;175.4;
2015-05-31;19.8;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;46.8;
2015-11-30;185;
2015-12-31;110.4;
2016-01-31;264.4;
2016-02-29;85.6;
2016-03-31;308;
2016-04-30;46;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;278;
2016-12-31;404.4;
2017-01-31;221.6;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;146.4;
2019-04-30;160;
2019-05-31;53;
2019-06-30;.2;
2019-07-31;0;
2019-08-31;0;
2019-09-30;42.6;
2019-10-31;110.2;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

