Nome: SINOP
Codigo Estacao: A917
Latitude: -11.98222221
Longitude: -55.56611111
Altitude: 366.57
Situacao: Pane
Data Inicial: 2006-10-28
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;null;
2006-12-31;404.2;
2007-01-31;261.6;
2007-02-28;339.4;
2007-03-31;256;
2007-04-30;123.2;
2007-05-31;8.4;
2007-06-30;.2;
2007-07-31;26.4;
2007-08-31;0;
2007-09-30;7.2;
2007-10-31;196;
2007-11-30;271.2;
2007-12-31;408.8;
2008-01-31;316.2;
2008-02-29;379;
2008-03-31;331.8;
2008-04-30;163.4;
2008-05-31;34.8;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;65;
2008-10-31;161;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;6;
2010-05-31;8.4;
2010-06-30;14.4;
2010-07-31;0;
2010-08-31;.8;
2010-09-30;0;
2010-10-31;123.6;
2010-11-30;291.2;
2010-12-31;246.4;
2011-01-31;315.2;
2011-02-28;137;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;127.6;
2011-10-31;191;
2011-11-30;214.6;
2011-12-31;293.2;
2012-01-31;439.2;
2012-02-29;380.8;
2012-03-31;230.8;
2012-04-30;110.2;
2012-05-31;54.4;
2012-06-30;37.6;
2012-07-31;0;
2012-08-31;0;
2012-09-30;11;
2012-10-31;174.2;
2012-11-30;229;
2012-12-31;237.4;
2013-01-31;362.2;
2013-02-28;406.8;
2013-03-31;567.8;
2013-04-30;null;
2013-05-31;66.8;
2013-06-30;null;
2013-07-31;.6;
2013-08-31;.6;
2013-09-30;34.4;
2013-10-31;224.4;
2013-11-30;216;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;25.2;
2014-07-31;6.8;
2014-08-31;0;
2014-09-30;67.4;
2014-10-31;124.8;
2014-11-30;null;
2014-12-31;null;
2015-01-31;92.2;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;.2;
2015-09-30;6.4;
2015-10-31;null;
2015-11-30;50.4;
2015-12-31;182.4;
2016-01-31;305.4;
2016-02-29;121.2;
2016-03-31;null;
2016-04-30;98.2;
2016-05-31;5.4;
2016-06-30;39;
2016-07-31;0;
2016-08-31;107.8;
2016-09-30;102;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;291.4;
2017-02-28;306.4;
2017-03-31;180;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;144.6;
2017-11-30;330.8;
2017-12-31;376.6;
2018-01-31;355.6;
2018-02-28;229.4;
2018-03-31;451.4;
2018-04-30;96.6;
2018-05-31;38.8;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;220;
2019-01-31;201.6;
2019-02-28;116.2;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;.4;
2019-09-30;10.2;
2019-10-31;254;
2019-11-30;246;
2019-12-31;257.2;
2020-01-31;193;
2020-02-29;null;
2020-03-31;null;
2020-04-30;55;
2020-05-31;7.6;
2020-06-30;0;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

