Nome: CONFRESA
Codigo Estacao: A918
Latitude: -10.63944444
Longitude: -51.57138888
Altitude: 233.28
Situacao: Fechada
Data Inicial: 2008-06-06
Data Final: 2018-03-11
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;0;
2008-08-31;0;
2008-09-30;8.4;
2008-10-31;133.2;
2008-11-30;231;
2008-12-31;266.4;
2009-01-31;465;
2009-02-28;264.8;
2009-03-31;126.4;
2009-04-30;170;
2009-05-31;31.4;
2009-06-30;21.6;
2009-07-31;0;
2009-08-31;2.4;
2009-09-30;165.4;
2009-10-31;225.8;
2009-11-30;174;
2009-12-31;442.4;
2010-01-31;399.8;
2010-02-28;238.4;
2010-03-31;356.8;
2010-04-30;46.6;
2010-05-31;3.2;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;9.8;
2010-10-31;185.2;
2010-11-30;276.2;
2010-12-31;212.4;
2011-01-31;308.8;
2011-02-28;204;
2011-03-31;266;
2011-04-30;217.2;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;12.2;
2011-10-31;266.4;
2011-11-30;427.8;
2011-12-31;259.8;
2012-01-31;288.4;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;25.6;
2012-07-31;0;
2012-08-31;0;
2012-09-30;15.6;
2012-10-31;133.2;
2012-11-30;282.6;
2012-12-31;172.6;
2013-01-31;307;
2013-02-28;267;
2013-03-31;408.2;
2013-04-30;175.6;
2013-05-31;8;
2013-06-30;23;
2013-07-31;0;
2013-08-31;0;
2013-09-30;51.2;
2013-10-31;102.6;
2013-11-30;242.8;
2013-12-31;279.8;
2014-01-31;338.2;
2014-02-28;197;
2014-03-31;272;
2014-04-30;155.2;
2014-05-31;26.2;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;50;
2014-10-31;102.8;
2014-11-30;107.2;
2014-12-31;165.4;
2015-01-31;146.4;
2015-02-28;194.6;
2015-03-31;242;
2015-04-30;132.8;
2015-05-31;null;
2015-06-30;0;
2015-07-31;.8;
2015-08-31;0;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;99.4;
2016-01-31;598.8;
2016-02-29;183.2;
2016-03-31;299;
2016-04-30;87.8;
2016-05-31;0;
2016-06-30;1.8;
2016-07-31;0;
2016-08-31;0;
2016-09-30;43.2;
2016-10-31;55;
2016-11-30;null;
2016-12-31;null;
2017-01-31;218;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;132.8;
2017-11-30;207.8;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;

