Nome: COTRIGUACU
Codigo Estacao: A919
Latitude: -9.90638888
Longitude: -58.57222221
Altitude: 265
Situacao: Pane
Data Inicial: 2007-05-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;.2;
2007-07-31;30.6;
2007-08-31;17;
2007-09-30;41.6;
2007-10-31;86;
2007-11-30;285.2;
2007-12-31;329.4;
2008-01-31;440.6;
2008-02-29;486.4;
2008-03-31;271.2;
2008-04-30;118.4;
2008-05-31;45.8;
2008-06-30;.4;
2008-07-31;0;
2008-08-31;11.6;
2008-09-30;56.6;
2008-10-31;60.8;
2008-11-30;22.8;
2008-12-31;4.2;
2009-01-31;1.2;
2009-02-28;1.2;
2009-03-31;1.2;
2009-04-30;0;
2009-05-31;0;
2009-06-30;1;
2009-07-31;.2;
2009-08-31;26.4;
2009-09-30;80.6;
2009-10-31;89.2;
2009-11-30;89;
2009-12-31;1.2;
2010-01-31;1.6;
2010-02-28;1.8;
2010-03-31;1.6;
2010-04-30;1.2;
2010-05-31;56.2;
2010-06-30;3.6;
2010-07-31;0;
2010-08-31;10;
2010-09-30;56;
2010-10-31;130.2;
2010-11-30;329.2;
2010-12-31;310.6;
2011-01-31;483.2;
2011-02-28;267;
2011-03-31;349.2;
2011-04-30;162.8;
2011-05-31;25.6;
2011-06-30;2.8;
2011-07-31;1;
2011-08-31;22.6;
2011-09-30;43.4;
2011-10-31;48.6;
2011-11-30;51.4;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;252.4;
2012-04-30;203.2;
2012-05-31;74.4;
2012-06-30;54.4;
2012-07-31;14.6;
2012-08-31;0;
2012-09-30;138.8;
2012-10-31;383;
2012-11-30;294.4;
2012-12-31;245.8;
2013-01-31;367.8;
2013-02-28;null;
2013-03-31;557.8;
2013-04-30;286;
2013-05-31;79;
2013-06-30;6.8;
2013-07-31;.4;
2013-08-31;2.4;
2013-09-30;43.8;
2013-10-31;228;
2013-11-30;73.2;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;13;
2014-07-31;2.2;
2014-08-31;11.2;
2014-09-30;129.4;
2014-10-31;89.6;
2014-11-30;217.2;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;266;
2015-05-31;104.6;
2015-06-30;1.6;
2015-07-31;2.6;
2015-08-31;6.8;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;24.6;
2016-07-31;0;
2016-08-31;88.2;
2016-09-30;98.2;
2016-10-31;149.2;
2016-11-30;130.6;
2016-12-31;575;
2017-01-31;351.4;
2017-02-28;328;
2017-03-31;208.6;
2017-04-30;258.4;
2017-05-31;85;
2017-06-30;10;
2017-07-31;0;
2017-08-31;19.8;
2017-09-30;59.8;
2017-10-31;161.4;
2017-11-30;298.8;
2017-12-31;374;
2018-01-31;324.2;
2018-02-28;633.4;
2018-03-31;420.4;
2018-04-30;254.6;
2018-05-31;124.8;
2018-06-30;3.6;
2018-07-31;0;
2018-08-31;42.2;
2018-09-30;131.2;
2018-10-31;274.4;
2018-11-30;528.8;
2018-12-31;null;
2019-01-31;null;
2019-02-28;246.2;
2019-03-31;477.8;
2019-04-30;210.2;
2019-05-31;21.6;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;121.8;
2019-10-31;179;
2019-11-30;332.8;
2019-12-31;null;
2020-01-31;409.8;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

