Nome: JUINA
Codigo Estacao: A920
Latitude: -11.37499999
Longitude: -58.77472221
Altitude: 365.39
Situacao: Pane
Data Inicial: 2006-11-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;471;
2009-01-31;202.4;
2009-02-28;281;
2009-03-31;320.6;
2009-04-30;189.6;
2009-05-31;17.4;
2009-06-30;14.6;
2009-07-31;7.4;
2009-08-31;89.2;
2009-09-30;127.2;
2009-10-31;98.2;
2009-11-30;203.4;
2009-12-31;276;
2010-01-31;414.4;
2010-02-28;274.6;
2010-03-31;215.8;
2010-04-30;62.4;
2010-05-31;42.8;
2010-06-30;.2;
2010-07-31;0;
2010-08-31;16.2;
2010-09-30;12;
2010-10-31;203.4;
2010-11-30;264;
2010-12-31;346.6;
2011-01-31;null;
2011-02-28;null;
2011-03-31;308;
2011-04-30;171.2;
2011-05-31;5.6;
2011-06-30;9.2;
2011-07-31;18.2;
2011-08-31;27.2;
2011-09-30;77.4;
2011-10-31;152.2;
2011-11-30;342;
2011-12-31;229.4;
2012-01-31;197;
2012-02-29;228;
2012-03-31;120.8;
2012-04-30;220;
2012-05-31;61.2;
2012-06-30;7.6;
2012-07-31;0;
2012-08-31;0;
2012-09-30;23.6;
2012-10-31;110.6;
2012-11-30;176;
2012-12-31;202;
2013-01-31;423.2;
2013-02-28;441.4;
2013-03-31;170.8;
2013-04-30;262.2;
2013-05-31;31;
2013-06-30;20.2;
2013-07-31;39.6;
2013-08-31;0;
2013-09-30;69;
2013-10-31;335.4;
2013-11-30;184.8;
2013-12-31;416.2;
2014-01-31;273;
2014-02-28;351.6;
2014-03-31;287.2;
2014-04-30;151.8;
2014-05-31;80.4;
2014-06-30;1.2;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;149;
2015-12-31;179.4;
2016-01-31;390.6;
2016-02-29;221.4;
2016-03-31;179.2;
2016-04-30;22.6;
2016-05-31;31;
2016-06-30;11.2;
2016-07-31;0;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;153.8;
2016-12-31;122.8;
2017-01-31;68.6;
2017-02-28;64.2;
2017-03-31;70.2;
2017-04-30;57;
2017-05-31;46.4;
2017-06-30;4.4;
2017-07-31;0;
2017-08-31;9.8;
2017-09-30;40.6;
2017-10-31;237.2;
2017-11-30;255.6;
2017-12-31;292.2;
2018-01-31;213.6;
2018-02-28;151.6;
2018-03-31;182.6;
2018-04-30;126.6;
2018-05-31;34;
2018-06-30;5.4;
2018-07-31;0;
2018-08-31;69.4;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;0;
2019-07-31;1.4;
2019-08-31;0;
2019-09-30;67.2;
2019-10-31;154.4;
2019-11-30;215.6;
2019-12-31;324.4;
2020-01-31;363.8;
2020-02-29;359.2;
2020-03-31;413.8;
2020-04-30;261;
2020-05-31;35.4;
2020-06-30;1;
2020-07-31;0;
2020-08-31;0;
2020-09-30;14.6;
2020-10-31;166;
2020-11-30;83.4;
2020-12-31;166.8;
2021-01-31;236.4;
2021-02-28;313.4;
2021-03-31;325;
2021-04-30;84.4;
2021-05-31;29;
2021-06-30;13.4;
2021-07-31;0;
2021-08-31;4;
2021-09-30;102.6;
2021-10-31;136;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

