Nome: SAO FELIX DO ARAGUAIA
Codigo Estacao: A921
Latitude: -11.61888888
Longitude: -50.72777777
Altitude: 201.37
Situacao: Pane
Data Inicial: 2007-10-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;82.2;
2008-11-30;274;
2008-12-31;235.4;
2009-01-31;240.4;
2009-02-28;143.8;
2009-03-31;104.2;
2009-04-30;274.2;
2009-05-31;17;
2009-06-30;92;
2009-07-31;0;
2009-08-31;.6;
2009-09-30;120.6;
2009-10-31;246.4;
2009-11-30;235.4;
2009-12-31;269.2;
2010-01-31;292.6;
2010-02-28;152.8;
2010-03-31;85.8;
2010-04-30;104.6;
2010-05-31;18.2;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;0;
2011-10-31;294;
2011-11-30;223;
2011-12-31;245.6;
2012-01-31;319;
2012-02-29;178.8;
2012-03-31;108.2;
2012-04-30;51;
2012-05-31;21.6;
2012-06-30;6.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;4.8;
2012-10-31;61.2;
2012-11-30;332.8;
2012-12-31;69.2;
2013-01-31;428.6;
2013-02-28;109;
2013-03-31;178.4;
2013-04-30;null;
2013-05-31;11.6;
2013-06-30;null;
2013-07-31;.2;
2013-08-31;0;
2013-09-30;32;
2013-10-31;null;
2013-11-30;null;
2013-12-31;432.6;
2014-01-31;185.2;
2014-02-28;272.2;
2014-03-31;216.8;
2014-04-30;132.8;
2014-05-31;33.8;
2014-06-30;0;
2014-07-31;0;
2014-08-31;0;
2014-09-30;7.8;
2014-10-31;73;
2014-11-30;105;
2014-12-31;261.2;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;98;
2016-01-31;364.4;
2016-02-29;110.4;
2016-03-31;207.4;
2016-04-30;41;
2016-05-31;3.4;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;53;
2016-10-31;127.2;
2016-11-30;150.2;
2016-12-31;353;
2017-01-31;215.4;
2017-02-28;315;
2017-03-31;null;
2017-04-30;233.4;
2017-05-31;1.6;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;67;
2017-11-30;486.4;
2017-12-31;216.8;
2018-01-31;232;
2018-02-28;389.4;
2018-03-31;233.4;
2018-04-30;226;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;380.2;
2018-12-31;232.8;
2019-01-31;282.4;
2019-02-28;169.8;
2019-03-31;268.4;
2019-04-30;142.8;
2019-05-31;205.2;
2019-06-30;0;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;259.2;
2020-03-31;321.8;
2020-04-30;359;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;.4;
2020-09-30;.2;
2020-10-31;155.8;
2020-11-30;232;
2020-12-31;190.2;
2021-01-31;231.6;
2021-02-28;628.6;
2021-03-31;259.4;
2021-04-30;72;
2021-05-31;.2;
2021-06-30;0;
2021-07-31;0;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

