Nome: ALTA FLORESTA
Codigo Estacao: A924
Latitude: -10.07722221
Longitude: -56.17916666
Altitude: 291.85
Situacao: Pane
Data Inicial: 2007-05-22
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;0;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;0;
2009-12-31;1;
2010-01-31;0;
2010-02-28;0;
2010-03-31;0;
2010-04-30;null;
2010-05-31;0;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;0;
2010-11-30;0;
2010-12-31;0;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;176.6;
2011-11-30;227;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;250.8;
2012-04-30;64.8;
2012-05-31;62.2;
2012-06-30;44.2;
2012-07-31;.8;
2012-08-31;0;
2012-09-30;167;
2012-10-31;144.6;
2012-11-30;213;
2012-12-31;222.2;
2013-01-31;416.8;
2013-02-28;333.2;
2013-03-31;334.6;
2013-04-30;125;
2013-05-31;73.6;
2013-06-30;6.4;
2013-07-31;1;
2013-08-31;0;
2013-09-30;106.8;
2013-10-31;241.2;
2013-11-30;285.6;
2013-12-31;312.6;
2014-01-31;316.2;
2014-02-28;353.8;
2014-03-31;366;
2014-04-30;257.6;
2014-05-31;134;
2014-06-30;5.8;
2014-07-31;1.8;
2014-08-31;20.2;
2014-09-30;95.8;
2014-10-31;166.2;
2014-11-30;255.4;
2014-12-31;372.2;
2015-01-31;362.8;
2015-02-28;302.8;
2015-03-31;184.2;
2015-04-30;301;
2015-05-31;153.2;
2015-06-30;5.6;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;74.8;
2015-12-31;135.8;
2016-01-31;333.6;
2016-02-29;126.6;
2016-03-31;263.2;
2016-04-30;71.8;
2016-05-31;68.8;
2016-06-30;44;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;418.8;
2016-12-31;279.8;
2017-01-31;241.2;
2017-02-28;316;
2017-03-31;135.6;
2017-04-30;216.4;
2017-05-31;60.8;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;14.6;
2018-07-31;.8;
2018-08-31;54.6;
2018-09-30;41.8;
2018-10-31;130.8;
2018-11-30;206.2;
2018-12-31;257.4;
2019-01-31;329.8;
2019-02-28;235.2;
2019-03-31;356.4;
2019-04-30;343.2;
2019-05-31;37.2;
2019-06-30;0;
2019-07-31;0;
2019-08-31;.2;
2019-09-30;36.2;
2019-10-31;null;
2019-11-30;null;
2019-12-31;85.8;
2020-01-31;null;
2020-02-29;117.2;
2020-03-31;100.2;
2020-04-30;82.6;
2020-05-31;63.6;
2020-06-30;0;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

