Nome: PORTO VELHO
Codigo Estacao: A925
Latitude: -8.7936111
Longitude: -63.84583333
Altitude: 86.7
Situacao: Pane
Data Inicial: 2007-07-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;4;
2007-09-30;40.6;
2007-10-31;180.2;
2007-11-30;221.6;
2007-12-31;280.8;
2008-01-31;387;
2008-02-29;238.4;
2008-03-31;null;
2008-04-30;null;
2008-05-31;207.4;
2008-06-30;4.8;
2008-07-31;9;
2008-08-31;null;
2008-09-30;79.4;
2008-10-31;142.8;
2008-11-30;273.8;
2008-12-31;311.6;
2009-01-31;296.2;
2009-02-28;353.4;
2009-03-31;268;
2009-04-30;331.4;
2009-05-31;173.6;
2009-06-30;72.2;
2009-07-31;38.2;
2009-08-31;74.8;
2009-09-30;134.4;
2009-10-31;226.8;
2009-11-30;282.6;
2009-12-31;287.6;
2010-01-31;18.2;
2010-02-28;147.8;
2010-03-31;473.4;
2010-04-30;109;
2010-05-31;86.2;
2010-06-30;28.8;
2010-07-31;0;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;228.2;
2011-01-31;312.4;
2011-02-28;317.4;
2011-03-31;293.6;
2011-04-30;226;
2011-05-31;66.2;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;442;
2012-01-31;333.8;
2012-02-29;456;
2012-03-31;457;
2012-04-30;133.8;
2012-05-31;130.6;
2012-06-30;94.4;
2012-07-31;6.4;
2012-08-31;16.2;
2012-09-30;107.4;
2012-10-31;155.4;
2012-11-30;321;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;247.8;
2013-04-30;null;
2013-05-31;160.6;
2013-06-30;68.2;
2013-07-31;83.2;
2013-08-31;35;
2013-09-30;114.4;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;416.4;
2014-02-28;239.2;
2014-03-31;234.4;
2014-04-30;122.8;
2014-05-31;226.6;
2014-06-30;63;
2014-07-31;28.8;
2014-08-31;69;
2014-09-30;113.6;
2014-10-31;375.8;
2014-11-30;175;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;403.4;
2015-04-30;296.8;
2015-05-31;207.8;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;133.6;
2015-12-31;281.4;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;38.2;
2016-07-31;null;
2016-08-31;null;
2016-09-30;128.4;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;330.2;
2017-02-28;null;
2017-03-31;333.2;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;449.2;
2018-02-28;364.4;
2018-03-31;259.4;
2018-04-30;278;
2018-05-31;73.4;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;116;
2018-11-30;160.4;
2018-12-31;373.4;
2019-01-31;315.8;
2019-02-28;379.4;
2019-03-31;289.6;
2019-04-30;168.2;
2019-05-31;78.8;
2019-06-30;20;
2019-07-31;0;
2019-08-31;.2;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;289.4;
2021-12-31;null;
2022-01-31;null;

