Nome: BRASNORTE (NOVO MUNDO)
Codigo Estacao: A927
Latitude: -12.52194443
Longitude: -58.23138888
Altitude: 426.2
Situacao: Pane
Data Inicial: 2008-02-28
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;243.8;
2008-04-30;153.4;
2008-05-31;19.2;
2008-06-30;0;
2008-07-31;0;
2008-08-31;1;
2008-09-30;7.2;
2008-10-31;129;
2008-11-30;212.8;
2008-12-31;333.8;
2009-01-31;245.8;
2009-02-28;159;
2009-03-31;259.8;
2009-04-30;127.8;
2009-05-31;32;
2009-06-30;14.4;
2009-07-31;11.4;
2009-08-31;0;
2009-09-30;130;
2009-10-31;125.8;
2009-11-30;160.4;
2009-12-31;432;
2010-01-31;329.8;
2010-02-28;345;
2010-03-31;343.2;
2010-04-30;94.4;
2010-05-31;26.2;
2010-06-30;0;
2010-07-31;.2;
2010-08-31;2.8;
2010-09-30;0;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;183;
2011-05-31;.2;
2011-06-30;.8;
2011-07-31;1;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;358;
2012-01-31;293.6;
2012-02-29;280.4;
2012-03-31;311;
2012-04-30;116.4;
2012-05-31;18.2;
2012-06-30;35.6;
2012-07-31;0;
2012-08-31;0;
2012-09-30;null;
2012-10-31;72.8;
2012-11-30;295.4;
2012-12-31;232.4;
2013-01-31;262.2;
2013-02-28;null;
2013-03-31;null;
2013-04-30;68.6;
2013-05-31;17.6;
2013-06-30;29.6;
2013-07-31;6.2;
2013-08-31;1.8;
2013-09-30;38.8;
2013-10-31;209.8;
2013-11-30;292;
2013-12-31;426.4;
2014-01-31;304.4;
2014-02-28;305;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;33.8;
2015-09-30;13;
2015-10-31;null;
2015-11-30;60;
2015-12-31;200.6;
2016-01-31;357.6;
2016-02-29;161.4;
2016-03-31;131.4;
2016-04-30;1.6;
2016-05-31;8.8;
2016-06-30;.8;
2016-07-31;0;
2016-08-31;3.2;
2016-09-30;6;
2016-10-31;75;
2016-11-30;182.8;
2016-12-31;151.2;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;25.8;
2017-06-30;.4;
2017-07-31;0;
2017-08-31;2.8;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;178.2;
2018-05-31;28.6;
2018-06-30;null;
2018-07-31;0;
2018-08-31;40.2;
2018-09-30;168;
2018-10-31;312.2;
2018-11-30;354.6;
2018-12-31;366.4;
2019-01-31;264.2;
2019-02-28;192.8;
2019-03-31;237.8;
2019-04-30;278.8;
2019-05-31;39;
2019-06-30;0;
2019-07-31;8.8;
2019-08-31;0;
2019-09-30;39.8;
2019-10-31;129.6;
2019-11-30;null;
2019-12-31;null;
2020-01-31;110.6;
2020-02-29;347.6;
2020-03-31;298.8;
2020-04-30;null;
2020-05-31;26.6;
2020-06-30;0;
2020-07-31;16.2;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

