Nome: NOVA MARINGA
Codigo Estacao: A928
Latitude: -13.0386111
Longitude: -57.09222221
Altitude: 334.36
Situacao: Pane
Data Inicial: 2008-04-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;37.4;
2008-06-30;.2;
2008-07-31;0;
2008-08-31;null;
2008-09-30;null;
2008-10-31;169.6;
2008-11-30;248.2;
2008-12-31;479.4;
2009-01-31;173.8;
2009-02-28;265.8;
2009-03-31;290.8;
2009-04-30;128;
2009-05-31;55.4;
2009-06-30;32;
2009-07-31;7.8;
2009-08-31;11.6;
2009-09-30;142.8;
2009-10-31;189.4;
2009-11-30;258.8;
2009-12-31;335;
2010-01-31;400.6;
2010-02-28;205.2;
2010-03-31;300.6;
2010-04-30;92.4;
2010-05-31;52.8;
2010-06-30;29.8;
2010-07-31;0;
2010-08-31;null;
2010-09-30;null;
2010-10-31;57.2;
2010-11-30;346.4;
2010-12-31;430.4;
2011-01-31;468.2;
2011-02-28;339.2;
2011-03-31;105.4;
2011-04-30;265;
2011-05-31;0;
2011-06-30;3.8;
2011-07-31;1;
2011-08-31;1.4;
2011-09-30;54.4;
2011-10-31;196.6;
2011-11-30;124;
2011-12-31;381;
2012-01-31;338;
2012-02-29;229.6;
2012-03-31;158.8;
2012-04-30;99.4;
2012-05-31;95.4;
2012-06-30;64.2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;null;
2012-10-31;20.4;
2012-11-30;255.6;
2012-12-31;218.8;
2013-01-31;256.2;
2013-02-28;244;
2013-03-31;321.2;
2013-04-30;154.6;
2013-05-31;56.4;
2013-06-30;7.8;
2013-07-31;3;
2013-08-31;1;
2013-09-30;36;
2013-10-31;143.4;
2013-11-30;303.8;
2013-12-31;528;
2014-01-31;179.2;
2014-02-28;514.6;
2014-03-31;214.6;
2014-04-30;61.4;
2014-05-31;66.4;
2014-06-30;.2;
2014-07-31;2.8;
2014-08-31;4.2;
2014-09-30;72.8;
2014-10-31;132.2;
2014-11-30;305;
2014-12-31;344;
2015-01-31;223.8;
2015-02-28;237;
2015-03-31;235.8;
2015-04-30;181.6;
2015-05-31;23.6;
2015-06-30;12;
2015-07-31;0;
2015-08-31;24.2;
2015-09-30;63.2;
2015-10-31;95.4;
2015-11-30;116.6;
2015-12-31;95.8;
2016-01-31;351;
2016-02-29;246.8;
2016-03-31;424;
2016-04-30;81.6;
2016-05-31;7.4;
2016-06-30;4;
2016-07-31;0;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;102.8;
2016-12-31;294.2;
2017-01-31;366;
2017-02-28;366.2;
2017-03-31;336;
2017-04-30;53.2;
2017-05-31;65.6;
2017-06-30;1.4;
2017-07-31;0;
2017-08-31;null;
2017-09-30;23.8;
2017-10-31;120.4;
2017-11-30;232.6;
2017-12-31;288.8;
2018-01-31;261;
2018-02-28;403.4;
2018-03-31;254.4;
2018-04-30;180.8;
2018-05-31;22.2;
2018-06-30;9;
2018-07-31;0;
2018-08-31;7;
2018-09-30;77.8;
2018-10-31;339;
2018-11-30;268.2;
2018-12-31;218.8;
2019-01-31;195.8;
2019-02-28;null;
2019-03-31;344.8;
2019-04-30;150.2;
2019-05-31;32;
2019-06-30;.8;
2019-07-31;0;
2019-08-31;0;
2019-09-30;40.6;
2019-10-31;233.8;
2019-11-30;203.4;
2019-12-31;146.8;
2020-01-31;221;
2020-02-29;531.4;
2020-03-31;184.2;
2020-04-30;56;
2020-05-31;30.8;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;null;
2020-10-31;92.4;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

