Nome: NOVA UBIRATA
Codigo Estacao: A929
Latitude: -13.41111111
Longitude: -54.75222222
Altitude: 466.48
Situacao: Pane
Data Inicial: 2008-04-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;13.8;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;63;
2008-10-31;47;
2008-11-30;373;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;169;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;0;
2009-08-31;null;
2009-09-30;58;
2009-10-31;156.6;
2009-11-30;null;
2009-12-31;341.6;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;0;
2010-07-31;0;
2010-08-31;null;
2010-09-30;0;
2010-10-31;142.2;
2010-11-30;268;
2010-12-31;124.2;
2011-01-31;358.8;
2011-02-28;201.6;
2011-03-31;382.2;
2011-04-30;115.4;
2011-05-31;13.8;
2011-06-30;22.4;
2011-07-31;.2;
2011-08-31;0;
2011-09-30;20.6;
2011-10-31;205;
2011-11-30;195.8;
2011-12-31;439.4;
2012-01-31;389.8;
2012-02-29;75.6;
2012-03-31;24;
2012-04-30;55.6;
2012-05-31;14.4;
2012-06-30;6.8;
2012-07-31;0;
2012-08-31;0;
2012-09-30;42;
2012-10-31;69.4;
2012-11-30;233.2;
2012-12-31;102.2;
2013-01-31;290.4;
2013-02-28;81;
2013-03-31;null;
2013-04-30;93.4;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;0;
2013-09-30;46;
2013-10-31;138.6;
2013-11-30;169.8;
2013-12-31;224;
2014-01-31;13.6;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;.2;
2014-06-30;38.8;
2014-07-31;null;
2014-08-31;0;
2014-09-30;5.6;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;0;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;0;
2015-09-30;38.8;
2015-10-31;86.8;
2015-11-30;70.4;
2015-12-31;172.6;
2016-01-31;null;
2016-02-29;null;
2016-03-31;289;
2016-04-30;58.8;
2016-05-31;13.8;
2016-06-30;0;
2016-07-31;0;
2016-08-31;43.6;
2016-09-30;58.6;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;55.8;
2018-05-31;12.8;
2018-06-30;0;
2018-07-31;0;
2018-08-31;8.8;
2018-09-30;12.2;
2018-10-31;155.8;
2018-11-30;424.4;
2018-12-31;330.2;
2019-01-31;203.2;
2019-02-28;297.6;
2019-03-31;166.4;
2019-04-30;113.2;
2019-05-31;88;
2019-06-30;0;
2019-07-31;0;
2019-08-31;8.6;
2019-09-30;88.8;
2019-10-31;159.4;
2019-11-30;397.2;
2019-12-31;273.2;
2020-01-31;255.4;
2020-02-29;333;
2020-03-31;173.8;
2020-04-30;174;
2020-05-31;12.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

