Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Pane
Data Inicial: 2008-01-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-01-31;null;
2008-02-29;187.4;
2008-03-31;214;
2008-04-30;186.2;
2008-05-31;18;
2008-06-30;0;
2008-07-31;0;
2008-08-31;.4;
2008-09-30;7.2;
2008-10-31;121.4;
2008-11-30;207.6;
2008-12-31;175.2;
2009-01-31;207.2;
2009-02-28;340.4;
2009-03-31;191.6;
2009-04-30;56.8;
2009-05-31;13.2;
2009-06-30;28.2;
2009-07-31;1;
2009-08-31;17.2;
2009-09-30;94.8;
2009-10-31;73.8;
2009-11-30;288.6;
2009-12-31;365.2;
2010-01-31;242.6;
2010-02-28;257.6;
2010-03-31;117.2;
2010-04-30;63.8;
2010-05-31;.8;
2010-06-30;7.2;
2010-07-31;.4;
2010-08-31;0;
2010-09-30;0;
2010-10-31;132.6;
2010-11-30;261.6;
2010-12-31;183.8;
2011-01-31;446.8;
2011-02-28;309.6;
2011-03-31;256.2;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;.4;
2011-08-31;.2;
2011-09-30;48.6;
2011-10-31;92.2;
2011-11-30;124.8;
2011-12-31;438.6;
2012-01-31;319;
2012-02-29;199.6;
2012-03-31;206.6;
2012-04-30;154.6;
2012-05-31;67.8;
2012-06-30;51;
2012-07-31;0;
2012-08-31;0;
2012-09-30;97.2;
2012-10-31;47.2;
2012-11-30;372.8;
2012-12-31;128.2;
2013-01-31;488.4;
2013-02-28;321;
2013-03-31;143.4;
2013-04-30;179.8;
2013-05-31;23;
2013-06-30;77.6;
2013-07-31;.6;
2013-08-31;0;
2013-09-30;22.6;
2013-10-31;56.4;
2013-11-30;null;
2013-12-31;267.4;
2014-01-31;227.6;
2014-02-28;204.4;
2014-03-31;365.4;
2014-04-30;97.8;
2014-05-31;35.2;
2014-06-30;4.6;
2014-07-31;32.4;
2014-08-31;0;
2014-09-30;114.2;
2014-10-31;126;
2014-11-30;241.2;
2014-12-31;478.6;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;67.8;
2015-06-30;0;
2015-07-31;49;
2015-08-31;3.6;
2015-09-30;54.6;
2015-10-31;52.8;
2015-11-30;107.2;
2015-12-31;172.2;
2016-01-31;287.8;
2016-02-29;97.6;
2016-03-31;244.8;
2016-04-30;12.8;
2016-05-31;14;
2016-06-30;6.2;
2016-07-31;0;
2016-08-31;41;
2016-09-30;9.8;
2016-10-31;144.6;
2016-11-30;null;
2016-12-31;null;
2017-01-31;370.6;
2017-02-28;288.2;
2017-03-31;174.8;
2017-04-30;75.2;
2017-05-31;11.6;
2017-06-30;4;
2017-07-31;0;
2017-08-31;1.8;
2017-09-30;5.6;
2017-10-31;16.4;
2017-11-30;304.6;
2017-12-31;493.4;
2018-01-31;250.8;
2018-02-28;143.6;
2018-03-31;178.6;
2018-04-30;119.2;
2018-05-31;41.6;
2018-06-30;.4;
2018-07-31;0;
2018-08-31;7;
2018-09-30;48.8;
2018-10-31;94.8;
2018-11-30;null;
2018-12-31;175.6;
2019-01-31;128.6;
2019-02-28;269.4;
2019-03-31;221.6;
2019-04-30;204.2;
2019-05-31;126;
2019-06-30;0;
2019-07-31;.8;
2019-08-31;0;
2019-09-30;37.8;
2019-10-31;108;
2019-11-30;135.6;
2019-12-31;254.4;
2020-01-31;179.6;
2020-02-29;206.6;
2020-03-31;142.4;
2020-04-30;26;
2020-05-31;98.2;
2020-06-30;null;
2020-07-31;null;
2020-08-31;0;
2020-09-30;1.6;
2020-10-31;63.8;
2020-11-30;75.8;
2020-12-31;262.2;
2021-01-31;212.2;
2021-02-28;155;
2021-03-31;104.8;
2021-04-30;34.2;
2021-05-31;135.8;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

