Nome: ITIQUIRA
Codigo Estacao: A933
Latitude: -17.17499999
Longitude: -54.50166666
Altitude: 593.12
Situacao: Pane
Data Inicial: 2008-08-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-08-31;null;
2008-09-30;2.6;
2008-10-31;112.4;
2008-11-30;151.6;
2008-12-31;163.8;
2009-01-31;87.2;
2009-02-28;311.4;
2009-03-31;110.6;
2009-04-30;39.8;
2009-05-31;43;
2009-06-30;21.8;
2009-07-31;15.6;
2009-08-31;39.8;
2009-09-30;33;
2009-10-31;106.8;
2009-11-30;143.6;
2009-12-31;183.6;
2010-01-31;398.6;
2010-02-28;92.8;
2010-03-31;188.2;
2010-04-30;93.4;
2010-05-31;1.4;
2010-06-30;1;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;9.4;
2010-11-30;31.4;
2010-12-31;27.2;
2011-01-31;55.2;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;142.8;
2011-11-30;75;
2011-12-31;226.4;
2012-01-31;310.6;
2012-02-29;230.4;
2012-03-31;303.8;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;63.2;
2012-10-31;144.2;
2012-11-30;null;
2012-12-31;164;
2013-01-31;284.4;
2013-02-28;308;
2013-03-31;121.2;
2013-04-30;130.8;
2013-05-31;48.6;
2013-06-30;41.2;
2013-07-31;.4;
2013-08-31;0;
2013-09-30;46.6;
2013-10-31;79.6;
2013-11-30;164.2;
2013-12-31;200.4;
2014-01-31;279.4;
2014-02-28;220.8;
2014-03-31;151.4;
2014-04-30;143;
2014-05-31;32.6;
2014-06-30;14.4;
2014-07-31;159.4;
2014-08-31;.2;
2014-09-30;23.4;
2014-10-31;33.8;
2014-11-30;170.2;
2014-12-31;430;
2015-01-31;51.8;
2015-02-28;82.6;
2015-03-31;0;
2015-04-30;null;
2015-05-31;null;
2015-06-30;3.8;
2015-07-31;18;
2015-08-31;null;
2015-09-30;84.6;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;13.6;
2016-06-30;12.6;
2016-07-31;0;
2016-08-31;41.4;
2016-09-30;6.4;
2016-10-31;114.4;
2016-11-30;237.2;
2016-12-31;135.4;
2017-01-31;57.6;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;17.8;
2017-06-30;null;
2017-07-31;null;
2017-08-31;102.2;
2017-09-30;21;
2017-10-31;69;
2017-11-30;153.8;
2017-12-31;278.8;
2018-01-31;228.4;
2018-02-28;231.4;
2018-03-31;124.8;
2018-04-30;33.6;
2018-05-31;2.2;
2018-06-30;0;
2018-07-31;.4;
2018-08-31;2.6;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;219.4;
2019-01-31;247.4;
2019-02-28;181.6;
2019-03-31;168.8;
2019-04-30;66;
2019-05-31;31;
2019-06-30;.2;
2019-07-31;2.2;
2019-08-31;7.8;
2019-09-30;61.4;
2019-10-31;68.2;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

