Nome: ALTO TAQUARI
Codigo Estacao: A934
Latitude: -17.8411111
Longitude: -53.28944444
Altitude: 862.42
Situacao: Operante
Data Inicial: 2008-01-28
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-01-31;null;
2008-02-29;359.8;
2008-03-31;358.8;
2008-04-30;197.4;
2008-05-31;9.2;
2008-06-30;.4;
2008-07-31;0;
2008-08-31;9.6;
2008-09-30;43.2;
2008-10-31;139.6;
2008-11-30;168.6;
2008-12-31;389.2;
2009-01-31;172.8;
2009-02-28;241.8;
2009-03-31;332;
2009-04-30;124.6;
2009-05-31;9.6;
2009-06-30;36.6;
2009-07-31;9.4;
2009-08-31;67.2;
2009-09-30;131.4;
2009-10-31;114;
2009-11-30;249;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;404.8;
2011-04-30;180.6;
2011-05-31;38.8;
2011-06-30;38.6;
2011-07-31;.2;
2011-08-31;3;
2011-09-30;34.6;
2011-10-31;271.8;
2011-11-30;88.4;
2011-12-31;185.8;
2012-01-31;275.2;
2012-02-29;151.6;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;54.4;
2012-07-31;.4;
2012-08-31;0;
2012-09-30;23.6;
2012-10-31;null;
2012-11-30;null;
2012-12-31;222.2;
2013-01-31;362.2;
2013-02-28;377.6;
2013-03-31;262.6;
2013-04-30;101.6;
2013-05-31;10.8;
2013-06-30;24.8;
2013-07-31;10.2;
2013-08-31;0;
2013-09-30;72.2;
2013-10-31;175.8;
2013-11-30;150.8;
2013-12-31;271.2;
2014-01-31;197.4;
2014-02-28;318.6;
2014-03-31;276.2;
2014-04-30;295.6;
2014-05-31;22;
2014-06-30;19.2;
2014-07-31;157;
2014-08-31;0;
2014-09-30;134.4;
2014-10-31;69.6;
2014-11-30;246.2;
2014-12-31;331.8;
2015-01-31;203.2;
2015-02-28;233.4;
2015-03-31;246;
2015-04-30;158.6;
2015-05-31;96.8;
2015-06-30;11.8;
2015-07-31;27.4;
2015-08-31;30.2;
2015-09-30;61.2;
2015-10-31;47.6;
2015-11-30;226;
2015-12-31;365.6;
2016-01-31;378.6;
2016-02-29;217.8;
2016-03-31;null;
2016-04-30;null;
2016-05-31;23.8;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;49.6;
2016-10-31;68.2;
2016-11-30;266.4;
2016-12-31;353.2;
2017-01-31;339;
2017-02-28;155.6;
2017-03-31;18.2;
2017-04-30;123.8;
2017-05-31;44.2;
2017-06-30;.4;
2017-07-31;0;
2017-08-31;42.6;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;127.2;
2018-01-31;106.2;
2018-02-28;171.6;
2018-03-31;68.6;
2018-04-30;66;
2018-05-31;null;
2018-06-30;0;
2018-07-31;0;
2018-08-31;0;
2018-09-30;92.2;
2018-10-31;128.4;
2018-11-30;122.4;
2018-12-31;115.2;
2019-01-31;203.6;
2019-02-28;165.4;
2019-03-31;244.2;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;.6;
2019-08-31;26.6;
2019-09-30;42.4;
2019-10-31;null;
2019-11-30;null;
2019-12-31;171.8;
2020-01-31;142.6;
2020-02-29;221.2;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;2.4;
2020-10-31;7.4;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

