Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2008-08-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-08-31;null;
2008-09-30;94.2;
2008-10-31;171.6;
2008-11-30;406;
2008-12-31;340.6;
2009-01-31;250;
2009-02-28;244.6;
2009-03-31;283;
2009-04-30;190.4;
2009-05-31;142.8;
2009-06-30;4.8;
2009-07-31;53;
2009-08-31;14.6;
2009-09-30;54;
2009-10-31;null;
2009-11-30;364;
2009-12-31;210;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;16.6;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;23;
2010-10-31;211.2;
2010-11-30;64.8;
2010-12-31;280.4;
2011-01-31;447.6;
2011-02-28;308.4;
2011-03-31;400;
2011-04-30;215.8;
2011-05-31;7.8;
2011-06-30;0;
2011-07-31;1.2;
2011-08-31;88.8;
2011-09-30;87.4;
2011-10-31;172;
2011-11-30;216.4;
2011-12-31;404.6;
2012-01-31;260.4;
2012-02-29;317.4;
2012-03-31;170.6;
2012-04-30;359.4;
2012-05-31;78.6;
2012-06-30;18.4;
2012-07-31;7.8;
2012-08-31;0;
2012-09-30;64;
2012-10-31;160.2;
2012-11-30;309.2;
2012-12-31;309.2;
2013-01-31;534.8;
2013-02-28;372.2;
2013-03-31;359.6;
2013-04-30;226.8;
2013-05-31;161.8;
2013-06-30;27.2;
2013-07-31;5.2;
2013-08-31;7.8;
2013-09-30;41.6;
2013-10-31;206.2;
2013-11-30;257.6;
2013-12-31;200.4;
2014-01-31;468.6;
2014-02-28;370.8;
2014-03-31;269.2;
2014-04-30;202.2;
2014-05-31;94.4;
2014-06-30;17;
2014-07-31;21.8;
2014-08-31;43.2;
2014-09-30;69;
2014-10-31;102.4;
2014-11-30;397;
2014-12-31;320.2;
2015-01-31;348.6;
2015-02-28;283;
2015-03-31;488.6;
2015-04-30;180.4;
2015-05-31;180;
2015-06-30;23.2;
2015-07-31;6.2;
2015-08-31;11.6;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;190.6;
2016-01-31;361.4;
2016-02-29;331.2;
2016-03-31;297.4;
2016-04-30;null;
2016-05-31;null;
2016-06-30;15.4;
2016-07-31;0;
2016-08-31;14.6;
2016-09-30;64.2;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;265.4;
2017-02-28;245.4;
2017-03-31;467.2;
2017-04-30;199.2;
2017-05-31;123.2;
2017-06-30;2.8;
2017-07-31;0;
2017-08-31;45.4;
2017-09-30;24.6;
2017-10-31;158;
2017-11-30;322;
2017-12-31;288.8;
2018-01-31;353;
2018-02-28;186.4;
2018-03-31;230.4;
2018-04-30;280.6;
2018-05-31;94;
2018-06-30;49.4;
2018-07-31;.8;
2018-08-31;88.4;
2018-09-30;129.6;
2018-10-31;272.2;
2018-11-30;266;
2018-12-31;315.6;
2019-01-31;330.2;
2019-02-28;358.8;
2019-03-31;348.6;
2019-04-30;205.2;
2019-05-31;28.8;
2019-06-30;.2;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;387;
2020-01-31;303.4;
2020-02-29;466.6;
2020-03-31;251.4;
2020-04-30;156.2;
2020-05-31;73.2;
2020-06-30;17.4;
2020-07-31;.2;
2020-08-31;3.2;
2020-09-30;10.8;
2020-10-31;32.2;
2020-11-30;null;
2020-12-31;84.2;
2021-01-31;92.2;
2021-02-28;null;
2021-03-31;119.6;
2021-04-30;125.2;
2021-05-31;2.8;
2021-06-30;2.8;
2021-07-31;0;
2021-08-31;0;
2021-09-30;32.2;
2021-10-31;null;
2021-11-30;null;
2021-12-31;248.2;
2022-01-31;null;

