Nome: ARIQUEMES
Codigo Estacao: A940
Latitude: -9.94888888
Longitude: -62.96194444
Altitude: 128.44
Situacao: Pane
Data Inicial: 2008-07-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-07-31;null;
2008-08-31;5.6;
2008-09-30;71;
2008-10-31;185.8;
2008-11-30;234.6;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;148.6;
2009-04-30;265.8;
2009-05-31;156.4;
2009-06-30;70.8;
2009-07-31;33.4;
2009-08-31;69.8;
2009-09-30;108.8;
2009-10-31;153.8;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;226.2;
2011-01-31;414.8;
2011-02-28;275.2;
2011-03-31;607.2;
2011-04-30;175.6;
2011-05-31;36.4;
2011-06-30;6.6;
2011-07-31;.4;
2011-08-31;9.4;
2011-09-30;119.6;
2011-10-31;167;
2011-11-30;181.8;
2011-12-31;286;
2012-01-31;471.6;
2012-02-29;265.8;
2012-03-31;224.6;
2012-04-30;247.2;
2012-05-31;85;
2012-06-30;21;
2012-07-31;.6;
2012-08-31;0;
2012-09-30;67.4;
2012-10-31;143.6;
2012-11-30;174.4;
2012-12-31;248;
2013-01-31;586.2;
2013-02-28;305.4;
2013-03-31;334.2;
2013-04-30;205;
2013-05-31;32.2;
2013-06-30;70.6;
2013-07-31;null;
2013-08-31;7.6;
2013-09-30;105.4;
2013-10-31;260.8;
2013-11-30;307.4;
2013-12-31;393;
2014-01-31;281;
2014-02-28;288.6;
2014-03-31;230.6;
2014-04-30;194.6;
2014-05-31;91.4;
2014-06-30;13.4;
2014-07-31;11.6;
2014-08-31;23.2;
2014-09-30;161.4;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;201.2;
2015-06-30;7.2;
2015-07-31;17.6;
2015-08-31;28.2;
2015-09-30;6;
2015-10-31;108.6;
2015-11-30;77;
2015-12-31;130.2;
2016-01-31;321.8;
2016-02-29;251.2;
2016-03-31;328;
2016-04-30;163.2;
2016-05-31;86.8;
2016-06-30;53.2;
2016-07-31;.6;
2016-08-31;16.6;
2016-09-30;189;
2016-10-31;101.6;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;109.8;
2017-10-31;167.6;
2017-11-30;198.4;
2017-12-31;333.8;
2018-01-31;337.2;
2018-02-28;388;
2018-03-31;81.6;
2018-04-30;null;
2018-05-31;null;
2018-06-30;0;
2018-07-31;0;
2018-08-31;21.6;
2018-09-30;117;
2018-10-31;60.8;
2018-11-30;386.4;
2018-12-31;468.2;
2019-01-31;497.6;
2019-02-28;327.8;
2019-03-31;377;
2019-04-30;255.2;
2019-05-31;76.2;
2019-06-30;14.2;
2019-07-31;.6;
2019-08-31;61.6;
2019-09-30;39.4;
2019-10-31;170;
2019-11-30;274;
2019-12-31;250.8;
2020-01-31;432.4;
2020-02-29;308.6;
2020-03-31;426;
2020-04-30;205.4;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

