Nome: SAO JOSE DO XINGU
Codigo Estacao: A942
Latitude: -10.48416666
Longitude: -52.37249999
Altitude: 300
Situacao: Pane
Data Inicial: 2019-02-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2019-02-28;null;
2019-03-31;250;
2019-04-30;120.4;
2019-05-31;22.8;
2019-06-30;0;
2019-07-31;0;
2019-08-31;0;
2019-09-30;50.6;
2019-10-31;170.2;
2019-11-30;278.4;
2019-12-31;177.4;
2020-01-31;253.8;
2020-02-29;244;
2020-03-31;255.4;
2020-04-30;237.2;
2020-05-31;45.4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;1;
2020-09-30;12.8;
2020-10-31;145.4;
2020-11-30;104;
2020-12-31;220.8;
2021-01-31;null;
2021-02-28;282.2;
2021-03-31;180.6;
2021-04-30;144.2;
2021-05-31;6.4;
2021-06-30;0;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

