Nome: CAMPINA DA LAGOA
Codigo Estacao: B803
Latitude: -24.57083332
Longitude: -52.80027777
Altitude: 598
Situacao: Operante
Data Inicial: 2016-08-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-08-31;null;
2016-09-30;35;
2016-10-31;213.8;
2016-11-30;109;
2016-12-31;375.2;
2017-01-31;181.2;
2017-02-28;301.4;
2017-03-31;142.4;
2017-04-30;169.6;
2017-05-31;161.8;
2017-06-30;196.2;
2017-07-31;5;
2017-08-31;145.2;
2017-09-30;30.8;
2017-10-31;394.4;
2017-11-30;205.6;
2017-12-31;291.6;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;156.6;
2018-12-31;93;
2019-01-31;323.2;
2019-02-28;191;
2019-03-31;180.6;
2019-04-30;91;
2019-05-31;358.2;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;78.2;
2019-10-31;45.2;
2019-11-30;132.2;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;28;
2021-12-31;51.8;
2022-01-31;null;

