Nome: LARANJEIRAS DO SUL
Codigo Estacao: B804
Latitude: -25.36888888
Longitude: -52.39194444
Altitude: 835
Situacao: Pane
Data Inicial: 2016-08-06
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-08-31;null;
2016-09-30;94.2;
2016-10-31;168.8;
2016-11-30;119.8;
2016-12-31;270.4;
2017-01-31;125.8;
2017-02-28;144;
2017-03-31;122.8;
2017-04-30;167;
2017-05-31;161;
2017-06-30;187.8;
2017-07-31;5;
2017-08-31;122.2;
2017-09-30;38.6;
2017-10-31;432.2;
2017-11-30;232.6;
2017-12-31;200.6;
2018-01-31;277.4;
2018-02-28;83.6;
2018-03-31;304.2;
2018-04-30;78;
2018-05-31;105.6;
2018-06-30;163.2;
2018-07-31;2.6;
2018-08-31;90.6;
2018-09-30;null;
2018-10-31;null;
2018-11-30;149.4;
2018-12-31;109;
2019-01-31;169.4;
2019-02-28;215;
2019-03-31;173.4;
2019-04-30;141.8;
2019-05-31;339.2;
2019-06-30;76.6;
2019-07-31;33;
2019-08-31;6;
2019-09-30;59.2;
2019-10-31;183;
2019-11-30;196;
2019-12-31;183.6;
2020-01-31;140;
2020-02-29;91.2;
2020-03-31;76.2;
2020-04-30;44.6;
2020-05-31;180.6;
2020-06-30;135;
2020-07-31;70.6;
2020-08-31;175.8;
2020-09-30;75.6;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

