Nome: COLOMBO
Codigo Estacao: B806
Latitude: -25.322464
Longitude: -49.157733
Altitude: 950
Situacao: Operante
Data Inicial: 2016-05-31
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-05-31;null;
2016-06-30;95.2;
2016-07-31;112.8;
2016-08-31;190;
2016-09-30;116.8;
2016-10-31;169.6;
2016-11-30;110.8;
2016-12-31;98.6;
2017-01-31;230.4;
2017-02-28;74;
2017-03-31;116.6;
2017-04-30;95.2;
2017-05-31;96.4;
2017-06-30;142;
2017-07-31;10.8;
2017-08-31;91.2;
2017-09-30;27.4;
2017-10-31;288;
2017-11-30;121.6;
2017-12-31;293;
2018-01-31;307;
2018-02-28;108.8;
2018-03-31;259.4;
2018-04-30;15.8;
2018-05-31;24.6;
2018-06-30;104.8;
2018-07-31;15.8;
2018-08-31;34.8;
2018-09-30;56.2;
2018-10-31;331.2;
2018-11-30;38;
2018-12-31;104.8;
2019-01-31;407;
2019-02-28;211.6;
2019-03-31;76.6;
2019-04-30;147.2;
2019-05-31;240;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;129.8;
2019-10-31;76.4;
2019-11-30;130;
2019-12-31;48.2;
2020-01-31;null;
2020-02-29;null;
2020-03-31;33;
2020-04-30;35.6;
2020-05-31;null;
2020-06-30;null;
2020-07-31;38.6;
2020-08-31;154.2;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;139.8;
2021-01-31;172.4;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;101;
2021-07-31;28;
2021-08-31;113.2;
2021-09-30;null;
2021-10-31;null;
2021-11-30;62.6;
2021-12-31;null;
2022-01-31;null;

