Nome: ARAL MOREIRA
Codigo Estacao: S702
Latitude: -22.955
Longitude: -55.6261111
Altitude: 605
Situacao: Operante
Data Inicial: 2018-04-12
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-04-30;null;
2018-05-31;115;
2018-06-30;null;
2018-07-31;null;
2018-08-31;53.4;
2018-09-30;264;
2018-10-31;null;
2018-11-30;null;
2018-12-31;282.2;
2019-01-31;94;
2019-02-28;217;
2019-03-31;330.2;
2019-04-30;157.4;
2019-05-31;220.4;
2019-06-30;23.6;
2019-07-31;16.6;
2019-08-31;8.6;
2019-09-30;null;
2019-10-31;null;
2019-11-30;166.6;
2019-12-31;347.8;
2020-01-31;202.6;
2020-02-29;92.2;
2020-03-31;51.8;
2020-04-30;118.2;
2020-05-31;158;
2020-06-30;102.2;
2020-07-31;35;
2020-08-31;212.4;
2020-09-30;10.2;
2020-10-31;182.2;
2020-11-30;121.8;
2020-12-31;214;
2021-01-31;531.6;
2021-02-28;103.6;
2021-03-31;159.6;
2021-04-30;42.6;
2021-05-31;10;
2021-06-30;9.2;
2021-07-31;5.6;
2021-08-31;1.6;
2021-09-30;.6;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

