Nome: BONITO
Codigo Estacao: S704
Latitude: -21.24666666
Longitude: -56.45055555
Altitude: 329
Situacao: Pane
Data Inicial: 2018-08-05
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-08-31;null;
2018-09-30;206;
2018-10-31;174.4;
2018-11-30;177.4;
2018-12-31;114.6;
2019-01-31;36;
2019-02-28;101.2;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;84.4;
2019-12-31;195.6;
2020-01-31;261.8;
2020-02-29;153.2;
2020-03-31;107.4;
2020-04-30;105.2;
2020-05-31;63.2;
2020-06-30;59.2;
2020-07-31;17.8;
2020-08-31;96.6;
2020-09-30;45.2;
2020-10-31;169.2;
2020-11-30;141;
2020-12-31;161.2;
2021-01-31;180.2;
2021-02-28;85;
2021-03-31;79.4;
2021-04-30;61.4;
2021-05-31;3.8;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

