Nome: IGUATEMI
Codigo Estacao: S709
Latitude: -23.64444444
Longitude: -54.57027777
Altitude: 319
Situacao: Operante
Data Inicial: 2018-02-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;67.8;
2018-06-30;57.2;
2018-07-31;9.2;
2018-08-31;102.4;
2018-09-30;160;
2018-10-31;308;
2018-11-30;111.2;
2018-12-31;112.6;
2019-01-31;75.8;
2019-02-28;126.4;
2019-03-31;143;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;139.2;
2019-12-31;482.2;
2020-01-31;218.6;
2020-02-29;106.6;
2020-03-31;59.2;
2020-04-30;91;
2020-05-31;110.8;
2020-06-30;106.8;
2020-07-31;6.2;
2020-08-31;.2;
2020-09-30;0;
2020-10-31;51.2;
2020-11-30;0;
2020-12-31;76;
2021-01-31;null;
2021-02-28;null;
2021-03-31;153;
2021-04-30;7.6;
2021-05-31;.8;
2021-06-30;75.6;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

