Nome: LAGUNA CARAPA
Codigo Estacao: S711
Latitude: -22.575389
Longitude: -55.160333
Altitude: 499
Situacao: Operante
Data Inicial: 2018-04-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-04-30;null;
2018-05-31;80.4;
2018-06-30;22.6;
2018-07-31;2.6;
2018-08-31;62.6;
2018-09-30;207.6;
2018-10-31;344.4;
2018-11-30;181.4;
2018-12-31;null;
2019-01-31;146.2;
2019-02-28;167.2;
2019-03-31;249.4;
2019-04-30;83.4;
2019-05-31;88.6;
2019-06-30;44.4;
2019-07-31;32.2;
2019-08-31;7.8;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

