Nome: NOVA ANDRADINA
Codigo Estacao: S713
Latitude: -22.0786111
Longitude: -53.46583333
Altitude: 372
Situacao: Operante
Data Inicial: 2018-04-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-04-30;null;
2018-05-31;40;
2018-06-30;31.4;
2018-07-31;0;
2018-08-31;118.8;
2018-09-30;170.4;
2018-10-31;335;
2018-11-30;129;
2018-12-31;198.2;
2019-01-31;255.4;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

