Nome: SANTA RITA DO PARDO
Codigo Estacao: S716
Latitude: -21.305889
Longitude: -52.820375
Altitude: 383
Situacao: Operante
Data Inicial: 2018-02-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;43.2;
2018-06-30;10.2;
2018-07-31;0;
2018-08-31;48.8;
2018-09-30;87;
2018-10-31;256.4;
2018-11-30;80.6;
2018-12-31;140.2;
2019-01-31;87.6;
2019-02-28;183.2;
2019-03-31;142;
2019-04-30;29.8;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;267.4;
2020-01-31;119;
2020-02-29;102;
2020-03-31;13.2;
2020-04-30;61.4;
2020-05-31;76.8;
2020-06-30;60.4;
2020-07-31;2;
2020-08-31;70.6;
2020-09-30;14.2;
2020-10-31;96;
2020-11-30;68.4;
2020-12-31;218.8;
2021-01-31;245.6;
2021-02-28;242.4;
2021-03-31;53.6;
2021-04-30;14.2;
2021-05-31;4.8;
2021-06-30;73.2;
2021-07-31;2;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;114.2;
2021-12-31;115.6;
2022-01-31;null;

