Ano,Mês,Precipitação (mm),Precipitação (mm),Precipitação (mm),Precipitação (mm)
,,mean,median,max,min
2000,6,16.87,2.6,48.0,0.0
2000,7,39.13,40.2,77.0,0.2
2000,8,89.2,89.2,125.8,52.6
2000,9,191.8,191.8,191.8,191.8
2000,10,124.0,125.8,189.2,57.0
2000,11,154.32,161.0,225.2,76.2
2000,12,82.3,82.3,91.0,73.6
2001,1,98.8,98.8,98.8,98.8
2001,2,77.6,98.2,104.2,30.4
2001,3,179.48,201.2,249.8,111.6
2001,4,182.2,166.2,287.2,109.2
2001,5,147.93,200.4,207.8,35.6
2001,6,60.31,2.0,200.4,0.0
2001,7,47.97,1.6,228.6,0.0
2001,8,31.97,21.2,134.2,0.0
2001,9,64.75,50.2,261.8,28.4
2001,10,125.95,124.8,210.6,30.0
2001,11,236.64,263.6,287.8,147.4
2001,12,193.59,209.6,336.2,0.0
2002,1,150.17,119.7,446.6,0.0
2002,2,138.44,120.7,304.0,0.0
2002,3,130.67,115.0,364.6,1.2
2002,4,67.81,46.0,315.8,1.8
2002,5,82.37,60.8,306.0,0.2
2002,6,131.0,131.0,131.0,131.0
2002,7,93.78,30.0,266.6,0.0
2002,8,68.54,79.4,139.8,0.0
2002,9,89.58,60.4,267.2,5.8
2002,10,37.11,33.2,63.4,19.2
2002,11,17.8,17.8,17.8,17.8
2002,12,261.95,240.1,364.6,203.0
2003,1,216.82,152.4,549.6,8.6
2003,2,151.43,129.8,525.4,1.8
2003,3,200.87,135.4,591.8,2.4
2003,4,133.89,109.2,509.4,0.0
2003,5,86.95,47.8,571.4,0.4
2003,6,44.41,2.2,263.0,0.0
2003,7,44.6,14.6,243.6,0.0
2003,8,51.3,20.0,206.0,0.0
2003,9,54.53,40.6,208.2,0.0
2003,10,83.74,54.8,333.0,0.0
2003,11,131.13,135.4,370.6,0.4
2003,12,146.18,164.8,370.4,7.6
2004,1,280.95,278.2,498.0,22.6
2004,2,241.98,191.4,641.0,35.6
2004,3,193.85,165.6,605.8,19.8
2004,4,138.82,104.6,475.0,0.8
2004,5,84.55,71.2,253.0,1.0
2004,6,80.77,42.6,776.0,0.0
2004,7,77.39,38.4,366.0,0.0
2004,8,36.08,6.4,224.0,0.0
2004,9,35.35,19.2,226.0,0.0
2004,10,81.49,77.0,306.6,0.0
2004,11,112.27,110.6,336.8,0.2
2004,12,106.78,66.0,476.2,0.0
2005,1,197.8,178.0,623.2,0.0
2005,2,133.67,99.6,515.4,1.4
2005,3,169.78,167.6,602.6,0.0
2005,4,101.49,85.0,349.4,0.0
2005,5,121.79,79.8,515.8,0.2
2005,6,98.96,41.2,738.4,0.0
2005,7,44.96,21.2,186.4,0.0
2005,8,43.58,13.8,294.4,0.0
2005,9,41.29,37.6,102.6,0.0
2005,10,57.21,31.8,271.6,0.0
2005,11,101.02,92.0,302.8,0.0
2005,12,184.74,164.8,555.0,0.0
2006,1,116.16,122.6,306.0,0.0
2006,3,175.97,163.2,363.4,0.0
2006,6,67.37,19.6,526.0,0.0
2006,7,41.96,25.2,229.2,0.0
2006,8,39.55,21.6,169.0,0.0
2006,9,77.78,71.4,277.0,0.0
2006,10,119.68,109.2,435.4,0.0
2006,11,167.01,163.4,450.4,0.0
2006,12,188.01,176.4,488.4,0.0
2007,1,237.54,213.8,696.0,0.0
2007,2,181.09,158.6,579.0,0.0
2007,3,116.39,97.2,547.8,0.0
2007,4,102.13,81.2,467.4,0.0
2007,5,72.13,48.0,317.6,0.0
2007,6,33.5,6.4,493.8,0.0
2007,7,60.21,28.8,336.0,0.0
2007,8,28.99,2.2,264.0,0.0
2007,9,34.5,8.8,340.4,0.0
2007,10,73.46,64.2,365.0,0.0
2007,11,131.3,139.0,433.4,0.0
2007,12,142.18,133.2,408.8,0.0
2008,1,194.53,181.2,521.6,0.0
2008,2,173.72,162.8,560.8,0.0
2008,3,188.75,172.8,544.2,0.0
2008,4,151.94,131.4,596.0,0.0
2008,5,81.23,49.6,555.4,0.0
2008,6,56.1,20.6,520.6,0.0
2008,7,31.08,6.2,444.0,0.0
2008,8,51.13,28.8,379.0,0.0
2008,9,54.04,38.4,294.0,0.0
2008,10,93.57,65.6,457.6,0.0
2008,11,148.96,134.2,891.6,0.0
2008,12,172.43,145.4,770.0,0.0
2009,1,198.18,194.2,670.8,0.0
2009,2,181.27,165.4,748.0,0.0
2009,3,167.07,138.2,967.8,0.0
2009,4,158.58,105.6,955.2,0.0
2009,5,134.47,75.6,897.8,0.0
2009,6,65.06,44.6,394.8,0.0
2009,7,61.61,32.4,438.6,0.0
2009,8,66.78,34.4,365.0,0.0
2009,9,88.7,53.4,555.2,0.0
2009,10,127.3,118.4,494.2,0.0
2009,11,127.8,101.6,675.6,0.0
2009,12,181.19,169.4,696.0,0.0
2010,1,164.78,154.8,564.2,0.0
2010,2,115.96,99.2,485.0,0.0
2010,3,157.5,152.8,630.8,0.0
2010,4,135.45,104.6,573.8,0.0
2010,5,75.79,42.0,697.8,0.0
2010,6,52.47,18.4,577.2,0.0
2010,7,63.84,21.0,556.8,0.0
2010,8,23.69,3.0,219.0,0.0
2010,9,52.83,28.6,320.0,0.0
2010,10,95.25,93.2,297.0,0.0
2010,11,134.02,114.6,485.4,0.0
2010,12,187.76,180.2,707.8,0.0
2011,1,213.94,199.4,679.2,16.6
2011,2,178.07,164.4,692.2,2.2
2011,3,218.52,190.2,619.4,1.0
2011,4,154.17,116.0,795.0,0.2
2011,5,82.6,38.2,677.6,0.0
2011,6,60.04,33.8,404.0,0.0
2011,7,64.76,15.0,448.6,0.0
2011,8,58.98,16.0,590.0,0.0
2011,9,38.01,15.2,255.4,0.0
2011,10,141.32,144.6,514.6,0.0
2011,11,126.49,117.8,427.8,0.0
2011,12,149.96,121.6,796.2,0.0
2012,1,198.22,184.8,723.6,0.0
2012,2,138.95,115.6,600.2,0.8
2012,3,126.65,99.2,874.6,0.0
2012,4,97.28,77.2,495.2,0.0
2012,5,71.84,55.4,417.6,0.0
2012,6,84.83,55.4,350.8,0.0
2012,7,51.53,20.2,299.8,0.0
2012,8,29.56,4.0,588.6,0.0
2012,9,50.72,36.4,312.8,0.0
2012,10,77.38,53.8,454.8,0.0
2012,11,146.01,119.4,568.2,0.0
2012,12,136.26,132.8,435.2,0.0
2013,1,205.2,178.2,763.6,0.4
2013,2,143.93,127.4,514.2,0.0
2013,3,174.39,166.4,616.0,0.0
2013,4,127.7,104.0,548.8,0.0
2013,5,88.83,65.4,487.0,0.0
2013,6,85.86,50.8,509.2,0.0
2013,7,55.6,31.4,411.4,0.0
2013,8,51.56,6.4,597.8,0.0
2013,9,65.61,46.6,446.2,0.0
2013,10,104.24,100.2,335.4,0.0
2013,11,143.93,132.8,463.0,0.0
